"NUM";"TITLE";"PRICE";"SALEPRICE";"SALEPER";"DESCRIPTION";"IMGDATA";"GAMEIMG";"URL";"VARIA"
1;"Hanoi Puzzles - Solid Match";"₩3,100";"₩2,480";"-20%";"A new game concept inspired by the classic Tower of Hanoi Assemble towers stacking pieces of the same color on a hexagonal board with a mysterious and relaxing atmosphere";"https://cdn1.epicgames.com/spt-assets/58e43b2cb77d4087882873f43831b6a1/hanoi-puzzles--solid-match-logo-1y0ur.png?h=270&quality=medium&resize=1&w=480";"https://cdn1.epicgames.com/spt-assets/58e43b2cb77d4087882873f43831b6a1/hanoi-puzzles--solid-match-video-sz0rz.png?h=270&quality=medium&resize=1&w=480";"https://store.epicgames.com/ko/p/hanoi-puzzles-solid-match-6a9e0c";1
2;"Godzilla Voxel Wars";"₩15,300";"₩13,770";"-10%";"Get ready to battle using your brain A fullfledged turnbased strategy game with a difficulty level GODZILLA";"https://cdn1.epicgames.com/spt-assets/8d0c5b1ea9254d57afd4460c6c5de7de/godzilla-voxel-wars-logo-1eivb.png?h=270&quality=medium&resize=1&w=480";"https://cdn1.epicgames.com/spt-assets/8d0c5b1ea9254d57afd4460c6c5de7de/godzilla-voxel-wars-axri9.png";"https://store.epicgames.com/ko/p/godzillawars-2c30e4";1
3;"Extreme Offroad Racing";"₩10,200";"₩1,530";"-85%";"Extreme Offroad Racing은 모든 연령대를 위한 최고의 3D 오프로드 레이싱 게임입니다 플레이어가 해당 챌린지를 완료하기 위해 다양한 장애물과 어려움에 직면해야 하는 10개의 레이싱 챌린지가 있습니다";"https://cdn1.epicgames.com/spt-assets/f860c975e5f041aa895eaef6201e066a/extreme-offroad-racing-logo-5sg1v.png?h=270&quality=medium&resize=1&w=480";"https://cdn1.epicgames.com/spt-assets/f860c975e5f041aa895eaef6201e066a/extreme-offroad-racing-1rqz8.jpg";"https://store.epicgames.com/ko/p/extreme-offroad-racing-439263";1
4;"Story Craft";"₩8,200";"₩6,560";"-20%";"Story Craft는 ChatGPT API를 사용한 이야기 작성 시뮬레이션 게임입니다
당신만의 이야기를 만들어보세요";"https://cdn1.epicgames.com/spt-assets/f7799707126243bbb87ff71e7cd811cf/story-craft-logo-1x6mr.png?h=270&quality=medium&resize=1&w=480";"https://cdn1.epicgames.com/spt-assets/f7799707126243bbb87ff71e7cd811cf/story-craft-3khmk.jpg";"https://store.epicgames.com/ko/p/story-craft-6bfcfb";1
5;"Game Dev Masters";"₩15,300";"₩7,650";"-50%";"Its time to become the Game Developer you always wanted to be Make use of a large array of modern game features and player skills to create stunning 10  10 games Compete with and eventually acquire other dynamic Ai Studios as you go from a one man team to a AAA studio";"https://cdn1.epicgames.com/spt-assets/49f51d9e46f64c47a33a3cb69477efa2/game-dev-masters-logo-13f7p.png?h=270&quality=medium&resize=1&w=480";"https://cdn1.epicgames.com/spt-assets/49f51d9e46f64c47a33a3cb69477efa2/game-dev-masters-video-7cdvc.png?h=270&quality=medium&resize=1&w=480";"https://store.epicgames.com/ko/p/game-dev-masters-f5d8f9";1
6;"Island Farmer";"₩2,000";"₩1,400";"-30%";"섬의 농장 조각들을 배치하여 군도를 확장시키세요 3D 퍼즐 조각들을 이리저리 움직이세요";"https://cdn1.epicgames.com/spt-assets/3fb5be523b7a46d39f9b2da081fad744/island-farmer-logo-dkvs3.png?h=270&quality=medium&resize=1&w=480";"https://cdn1.epicgames.com/spt-assets/3fb5be523b7a46d39f9b2da081fad744/island-farmer-video-1mf7e.png?h=270&quality=medium&resize=1&w=480";"https://store.epicgames.com/ko/p/island-farmer-ce8ee6";1
7;"Lawn Mowing Simulator";"₩22,500";"₩7,650";"-66%";"잔디 깎기 시뮬레이터Lawn Mowing Simulator에서 대영제국의 시골 지역에서 잔디 깎기의 아름다움과 재미를 경험해 보세요 잔디 깎기 사업을 경영하면서 유명한 제조사에서 실제 라이선스를 받아 현실감 넘치는 잔디깎이를 다양하게 조종할 수 있는 유일한 시뮬레이터 게임입니다";"https://cdn1.epicgames.com/spt-assets/977ce2dee0fe437d90d2a67adf9917d8/lawn-mowing-simulator-logo-52i24.png?h=270&quality=medium&resize=1&w=480";"https://cdn1.epicgames.com/spt-assets/977ce2dee0fe437d90d2a67adf9917d8/lawn-mowing-simulator-video-1ciov.png?h=270&quality=medium&resize=1&w=480";"https://store.epicgames.com/ko/p/lawn-mowing-simulator-838bf3";1
8;"The Suicide of Rachel Foster";"₩18,500";"₩1,850";"-90%";"오랜 세월 후 가족이 경영하는 호텔로 돌아온 한 젊은 여성은 과거의 망령에 사로잡히게 되고 오직 낡은 휴대 전화기만을 사용해 끔찍한 진실을 밝혀내야 합니다";"https://cdn1.epicgames.com/spt-assets/13be2d108e0344c98158bf4a2926bba5/the-suicide-of-rachel-foster-logo-13lvd.png?h=270&quality=medium&resize=1&w=480";"https://cdn1.epicgames.com/spt-assets/13be2d108e0344c98158bf4a2926bba5/the-suicide-of-rachel-foster-video-phcwo.jpg?h=270&quality=medium&resize=1&w=480";"https://store.epicgames.com/ko/p/the-suicide-of-rachel-foster-1dc01b";1
9;"Iratus: Lord of the Dead";"₩32,000";"₩4,800";"-85%";"Iratus Lord of the Dead는 턴제 전술 로그라이크 RPG로 어두운 판타지 세상을 배경으로 펼쳐집니다 언데드 군대를 통솔하여 분노한 주술사가 지상으로 도달해서 불사의 영역에 죽음을 불러오는 여정을 도와주세요";"https://cdn1.epicgames.com/spt-assets/e7bee97d9a88475487a71b456a81110f/iratus--lord-of-the-dead-logo-wvsqa.png?h=270&quality=medium&resize=1&w=480";"https://cdn1.epicgames.com/spt-assets/e7bee97d9a88475487a71b456a81110f/iratus--lord-of-the-dead-video-1kqcj.jpg?h=270&quality=medium&resize=1&w=480";"https://store.epicgames.com/ko/p/iratus-d0e5ba";1
10;"Unrailed!";"₩19,500";"₩4,870";"-75%";"Unrailed는 협동 멀티플레이어 게임으로 친구들과 함께 끊임없이 절차적으로 생성되는 세계 곳곳에 걸쳐 철도를 건설해야 합니다 이 세계에 서식하는 생명체와의 무작위적인 만남을 잘 처리하고 열차를 업그레이드하고 열차가 탈선하지 않도록 하세요";"https://cdn1.epicgames.com/spt-assets/dc57439aac3c481aaa52ccb443a4d01a/unrailed-logo-1lrnn.png?h=270&quality=medium&resize=1&w=480";"https://cdn1.epicgames.com/spt-assets/dc57439aac3c481aaa52ccb443a4d01a/unrailed-video-17udh.jpg?h=270&quality=medium&resize=1&w=480";"https://store.epicgames.com/ko/p/unrailed-e19729";1
11;"Warpips";"₩19,000";"₩3,800";"-80%";"Warpips는 매우 빠른 속도로 배울 수 있음과 동시에 놀랍도록 깊이 있는 줄다리기식 전략 게임입니다 이 치밀하고 유려한 전략 중심의 전쟁 게임에서 올바른 조합의 병사 탱크 헬리콥터 비행기를 배치해 보세요 최고의 부대를 조직하고 올바른 기술을 연구하여 적을 압도하세요";"https://cdn1.epicgames.com/spt-assets/581b8af82db34e5c98f5dae3ed5b9904/warpips-logo-tbmjs.png?h=270&quality=medium&resize=1&w=480";"https://cdn1.epicgames.com/spt-assets/581b8af82db34e5c98f5dae3ed5b9904/warpips-video-rchxl.jpg?h=270&quality=medium&resize=1&w=480";"https://store.epicgames.com/ko/p/warpips-57e2c4";1
12;"Zombie Rollerz: Pinball Heroes";"₩17,000";"₩3,400";"-80%";"Zombie Rollerz는 고전 핀볼 좀비 디펜스 로그라이크가 섞인 궁극의 혼합 게임입니다 쏘고 때리고 부수며 좀비 떼와 강력한 보스 전투를 헤쳐나가세요 영웅을 선택하세요 이제 핀볼 마법사가 될 시간입니다";"https://cdn1.epicgames.com/spt-assets/555b34e18d6d4c6d9cf89533866089cb/zombie-rollerz-logo-1yrgw.png?h=270&quality=medium&resize=1&w=480";"https://cdn1.epicgames.com/spt-assets/555b34e18d6d4c6d9cf89533866089cb/zombie-rollerz-video-6stic.jpg?h=270&quality=medium&resize=1&w=480";"https://store.epicgames.com/ko/p/zombie-rollerz-7aa027";1
13;"Iron Danger";"₩22,000";"₩2,200";"-90%";"Iron Danger는 독특한 시간 조작법으로 플레이하는 전술 전투 게임입니다 턴제 게임의 전술적인 깊이와 실시간 게임의 흥미진진한 액션이 함께 어우러져 지금까지 단 한 번도 경험해보지 못한 세계가 펼쳐집니다";"https://cdn1.epicgames.com/spt-assets/26bc65608bc84294900df1974ef3758a/iron-danger-logo-dj1na.png?h=270&quality=medium&resize=1&w=480";"https://cdn1.epicgames.com/spt-assets/26bc65608bc84294900df1974ef3758a/iron-danger-kecb1.png";"https://store.epicgames.com/ko/p/iron-danger-b4320c";1
14;"Partisans 1941";"₩45,500";"₩6,820";"-85%";"Partisans 1941은 제2차 세계 대전의 동부 전선을 배경으로 펼쳐지는 실시간 잠입 전술 게임입니다 적의 전선 후방에서 활약하는 군대 사령관이 되어 파르티잔을 모아 독일 점령군에 맞서 게릴라전을 벌이세요";"https://cdn2.unrealengine.com/egs-partisans1941-altergames-ic1-400x400-34302cc0cc14.png?h=270&quality=medium&resize=1&w=480";"https://cdn2.unrealengine.com/egs-partisans1941-altergames-g1c-00-1920x1080-1900b6203415.jpg?h=270&quality=medium&resize=1&w=480";"https://store.epicgames.com/ko/p/partisans-1941";1
15;"Shadow Tactics - Aiko's Choice";"₩22,000";"₩7,480";"-66%";"Aikos Choice는 인기 잠입 전술 게임 Shadow Tactics의 최신 독립형 애드온입니다 일본 에도 시대를 배경으로 펼쳐지는 이 게임에서 여러분은 고도의 쿠노이치 실력자인 Aiko와 그녀의 치명적인 암살자 동료들을 조종하여 Aiko의 과거를 추적해 갑니다";"https://cdn1.epicgames.com/spt-assets/24f4bf69387246819ea43509effb6ba4/shadow-tactics--aikos-choice-logo-19tqz.png?h=270&quality=medium&resize=1&w=480";"https://cdn1.epicgames.com/spt-assets/24f4bf69387246819ea43509effb6ba4/shadow-tactics--aikos-choice-video-16y9p.jpg?h=270&quality=medium&resize=1&w=480";"https://store.epicgames.com/ko/p/shadow-tactics-aikos-choice-5678c1";1
16;"Trüberbrook";"₩31,000";"₩3,100";"-90%";"1960년대 평행 우주 독일에서 흥미진진한 휴가를 즐기세요  수제작한 배경이 돋보이는 SF 미스터리 어드벤처 게임에서 젊은 미국인 과학자 Hans Tannhauser와 동행하세요";"https://cdn2.unrealengine.com/egs-trberbrook-btf-ic1-400x279-7fab7d777753.png?h=270&quality=medium&resize=1&w=480";"https://cdn2.unrealengine.com/egs-trberbrook-btf-g1c-00-1920x1080-2104b2fda325.jpg?h=270&quality=medium&resize=1&w=480";"https://store.epicgames.com/ko/p/truberbrook";1
17;"JARS";"₩13,500";"₩3,370";"-75%";"JARS는 퍼즐과 타워 디펜스를 절묘하게 버무린 전략 게임이에요 으스스하며ㄴ서도 사랑스러운 세계 속에서 주인공 존 빅터는 지하실의 비밀을 밝히는 여정을 떠나죠 당신은 세상을 구하게 될까요 외출 금지에 처하게 될까요";"https://cdn1.epicgames.com/spt-assets/aa4e814e8db94167a3ca35871c75c846/jars-logo-1boqq.png?h=270&quality=medium&resize=1&w=480";"https://cdn1.epicgames.com/spt-assets/aa4e814e8db94167a3ca35871c75c846/jars-video-1pha2.png?h=270&quality=medium&resize=1&w=480";"https://store.epicgames.com/ko/p/jars-e39063";1
18;"War Mongrels";"₩46,000";"₩16,100";"-65%";"제 2차 세계 대전의 동부 전선에서 벌어지는 실시간 전략 아이소메트릭 게임 줄거리 중심의 캠페인은 실제로 발생한 어두운 사건들과 이러한 사건 주변의 실제 이야기들로부터 영감을 받았습니다 혼자서 또는 협동 모드에서 전쟁의 참혹함으로 뛰어드세요";"https://cdn2.unrealengine.com/egs-warmongrels-destructivecreations-ic2-128x128-d7734c9b288e.png?h=270&quality=medium&resize=1&w=480";"https://cdn2.unrealengine.com/egs-warmongrels-destructivecreations-g1c-00-1920x1080-5a4dae0e72aa.jpg?h=270&quality=medium&resize=1&w=480";"https://store.epicgames.com/ko/p/war-mongrels";1
19;"Bonfire Peaks";"₩20,400";"₩10,200";"-50%";"이 아름다운 복셀 아트 퍼즐 섬에서 가지고 있는 소지품을 불에 태워버리세요  위로 아래로 움직이고 내 뒤로는 아무것도 남기지 마세요 Bonfire Peaks는 끝맺음에 관한 퍼즐 게임입니다";"https://cdn2.unrealengine.com/egs-bonfirepeaks-coreymartin-ic1-400x271-b90296e1d1ca.png?h=270&quality=medium&resize=1&w=480";"https://cdn2.unrealengine.com/egs-bonfirepeaks-coreymartin-g1c-00-1920x1080-a47bf0b64ce0.jpg?h=270&quality=medium&resize=1&w=480";"https://store.epicgames.com/ko/p/bonfire-peaks";1
