"NUM";"TITLE";"GENRE"
50;"Warpips";"어드벤처"
51;"Warpips";"싱글 플레이어"
52;"Warpips";"업적"
53;"Zombie Rollerz: Pinball Heroes";"RPG"
54;"Zombie Rollerz: Pinball Heroes";"멀티플레이어"
366;"Sokobond";"액션"
367;"Sokobond";"어드벤처"
368;"Sokobond";"잠입"
369;"Sokobond";"싱글 플레이어"
370;"Deponia: The Complete Journey";"전략"
371;"Deponia: The Complete Journey";"싱글 플레이어"
374;"The Fabled Woods";"RPG"
375;"The Fabled Woods";"슈팅"
376;"The Fabled Woods";"우주"
377;"The Fabled Woods";"싱글 플레이어"
378;"The Fabled Woods";"업적"
379;"Hue";"어드벤처"
380;"Hue";"플랫포머"
381;"Hue";"업적"
382;"Hue";"컨트롤러 지원"
383;"Hue";"협동"
384;"AER Memories of Old";"슈팅"
385;"AER Memories of Old";"액션"
386;"AER Memories of Old";"멀티플레이어"
387;"AER Memories of Old";"싱글 플레이어"
388;"AER Memories of Old";"업적"
389;"AER Memories of Old";"컨트롤러 지원"
390;"AER Memories of Old";"협동"
733;"Warpips";"로그라이트"
734;"Warpips";"전략"
735;"Warpips";"싱글 플레이어"
736;"Warpips";"컨트롤러 지원"
737;"Zombie Rollerz: Pinball Heroes";"로그라이트"
738;"Zombie Rollerz: Pinball Heroes";"액션"
739;"Zombie Rollerz: Pinball Heroes";"캐주얼"
740;"Zombie Rollerz: Pinball Heroes";"싱글 플레이어"
741;"Zombie Rollerz: Pinball Heroes";"컨트롤러 지원"
742;"Iron Danger";"액션 어드벤처"
743;"Iron Danger";"인디"
744;"Iron Danger";"전략"
745;"Iron Danger";"싱글 플레이어"
746;"Partisans 1941";"액션"
747;"Partisans 1941";"잠입"
748;"Partisans 1941";"전략"
749;"Partisans 1941";"싱글 플레이어"
750;"Partisans 1941";"업적"
751;"Trüberbrook";"어드벤처"
752;"Trüberbrook";"인디"
753;"Trüberbrook";"싱글 플레이어"
754;"JARS";"인디"
755;"JARS";"전략"
756;"JARS";"싱글 플레이어"
757;"JARS";"컨트롤러 지원"
758;"War Mongrels";"잠입"
759;"War Mongrels";"전략"
760;"War Mongrels";"싱글 플레이어"
761;"War Mongrels";"업적"
762;"War Mongrels";"컨트롤러 지원"
763;"War Mongrels";"클라우드 저장"
764;"War Mongrels";"협동"
765;"Bonfire Peaks";"어드벤처"
766;"Bonfire Peaks";"인디"
767;"Bonfire Peaks";"퍼즐"
768;"Bonfire Peaks";"싱글 플레이어"
769;"Bonfire Peaks";"클라우드 저장"
770;"Little Big Workshop";"시뮬레이션"
771;"Little Big Workshop";"전략"
772;"Little Big Workshop";"싱글 플레이어"
773;"Little Big Workshop";"컨트롤러 지원"
774;"Little Big Workshop";"클라우드 저장"
775;"Just Die Already";"어드벤처"
776;"Just Die Already";"오픈 월드"
777;"Just Die Already";"코미디"
778;"Just Die Already";"멀티플레이어"
779;"Just Die Already";"싱글 플레이어"
780;"Just Die Already";"협동"
781;"Hundred Days - 포도주 양조 시뮬레이터";"시뮬레이션"
782;"Hundred Days - 포도주 양조 시뮬레이터";"인디"
783;"Hundred Days - 포도주 양조 시뮬레이터";"전략"
784;"Hundred Days - 포도주 양조 시뮬레이터";"싱글 플레이어"
785;"Hundred Days - 포도주 양조 시뮬레이터";"업적"
786;"Hundred Days - 포도주 양조 시뮬레이터";"클라우드 저장"
787;"Cosmic Express";"인디"
788;"Cosmic Express";"퍼즐"
789;"Cosmic Express";"싱글 플레이어"
790;"Cosmic Express";"클라우드 저장"
791;"A Monster's Expedition";"어드벤처"
792;"A Monster's Expedition";"인디"
793;"A Monster's Expedition";"퍼즐"
794;"A Monster's Expedition";"컨트롤러 지원"
795;"A Monster's Expedition";"클라우드 저장"
796;"Sokobond";"인디"
797;"Sokobond";"캐주얼"
798;"Sokobond";"퍼즐"
799;"Sokobond";"클라우드 저장"
800;"Deponia: The Complete Journey";"어드벤처"
801;"Deponia: The Complete Journey";"코미디"
802;"Deponia: The Complete Journey";"퍼즐"
803;"Deponia: The Complete Journey";"클라우드 저장"
804;"Ken Follett's The Pillars of the Earth";"내레이션"
805;"Ken Follett's The Pillars of the Earth";"어드벤처"
806;"Ken Follett's The Pillars of the Earth";"퍼즐"
807;"Ken Follett's The Pillars of the Earth";"싱글 플레이어"
808;"Ken Follett's The Pillars of the Earth";"업적"
809;"Ken Follett's The Pillars of the Earth";"컨트롤러 지원"
810;"Ken Follett's The Pillars of the Earth";"클라우드 저장"
811;"The Fabled Woods";"1인칭"
812;"The Fabled Woods";"내레이션"
813;"The Fabled Woods";"액션"
814;"The Fabled Woods";"싱글 플레이어"
815;"Hue";"어드벤처"
816;"Hue";"퍼즐"
817;"Hue";"플랫포머"
818;"Hue";"싱글 플레이어"
819;"For The King";"어드벤처"
820;"For The King";"턴제"
821;"For The King";"클라우드 저장"
822;"For The King";"협동"
823;"A Knights Quest";"액션"
824;"A Knights Quest";"어드벤처"
825;"A Knights Quest";"플랫포머"
826;"A Knights Quest";"싱글 플레이어"
