"NUM";"TITLE";"PRICE";"SALEPRICE";"SALEPER";"DESCRIPTION";"IMGDATA";"GAMEIMG";"URL";"VARIA"
1;"Wo Long: Fallen Dynasty (PS4 & PS5) (한국어, 영어, 일본어)";"69,800원";"46,766원";"-33%";"본 제품을 소지한 고객님께서는 해당 게임의 디지털 PS4 버전과 디지털 PS5 버전 모두를 보유하실 수 있습니다난세의 어둠난세의 어둠속에 용이 눈을 뜬다 인왕을 제작한 Team NINJA가 제공하는 다크 심국지 소울라이크 게임서기 184년 후한 말기의 중국  전란과 황폐함에 지배받는 세상오랜 세월 거룩한 왕조도 몰락을 향해 움직이고 있다플레이어는 무명의 의용병으로 중국 무술을 구사하며 화려한 검술 액션으로 초인적인 무장과 요마로 넘쳐나는 삼국난세에 맞선다역사와 판타지 그리고 액션이 가득한 다크 삼국 액션 RPG플레이어는 무명의 의용병으로 중국 무술을 구사하며 화려한 검술 액션으로 초인적인 무장과 요마로 넘쳐나는 삼국난세에 맞서게 됩니다각종 콘텐츠의 이용시에는 인터넷 접속이 필요합니다본 제품은 통상판입니다 통상판이 포함된 Digital Deluxe Edition도 존재합니다온라인 멀티플레이를 이용하시기 위해서는 PlayStationPlus유료 가입이 필요합니다이미 해당 게임의 PS4 버전을 보유하고 계신 경우 추가 비용이나 해당 제품을 구매할 필요 없이 PS5 디지털 버전을 보유하실 수 있습니다 PS4 디스크 사본 소유자께서는 PS5 디지털 버전을 플레이하실 때마다 해당 사본을 PS5에 넣으셔야 합니다 PS4 게임 디스크 보유자께서 PS5 디지털 에디션 비 디스크 콘솔을 구매하시면 추가 비용 없이 PS5 버전을 받으실 수 없습니다";"https://image.api.playstation.com/vulcan/ap/rnd/202210/2609/lgPM04qlLofxYamtlfMfqkHZ.png?w=440";"https://image.api.playstation.com/vulcan/ap/rnd/202210/2609/laKqfg7nxfK3G60O9STwBGPy.png?w=1920";"https://store.playstation.com//ko-kr/product/JP0106-PPSA05795_00-WOLONG0000000000";1
2;"Wo Long: Fallen Dynasty Digital Deluxe Edition (PS4 & PS5) (한국어, 영어, 일본어)";"99,600원";"66,732원";"-33%";"본 제품을 소지한 고객님께서는 해당 게임의 디지털 PS4 버전과 디지털 PS5 버전 모두를 보유하실 수 있습니다세트 내용Wo Long Fallen Dynasty게임 본편시즌 패스추가 DLC 중원의 쟁패 강동의 소패왕 형주의 풍운 시즌 패스 특전 청룡의 갑옷디지털 아트북디지털 미니 사운드트랙디지털 아트북  디지털 미니 사운드트랙 수록 내용캐릭터와 배경의 일러스트 게임 내 일부 음원이 수록된 디지털 아트북  디지털 미니 사운드트랙입니다DLC1 중원의 쟁패 2023년 6월 출시 예정DLC2 강동의 소패왕 2023년 9월 출시 예정DLC3 형주의 풍운 2023년 12월 출시 예정시즌 패스에 포함된 DLC의 출시 날짜는 변경되는 경우가 있습니다난세의 어둠난세의 어둠속에 용이 눈을 뜬다 인왕을 제작한 Team NINJA가 제공하는 다크 심국지 소울라이크 게임플레이어는 무명의 의용병으로 중국 무술을 구사하며 화려한 검술 액션으로 초인적인 무장과 요마로 넘쳐나는 삼국난세에 맞서게 됩니다체험판을 클리어하시면 제품판에서 사용할 수 있는 와룡의 투구를 취득할 수 있습니다서기 184년 후한 말기의 중국  전란과 황폐함에 지배받는 세상오랜 세월 거룩한 왕조도 몰락을 향해 움직이고 있다플레이어는 무명의 의용병으로 중국 무술을 구사하며 화려한 검술 액션으로 초인적인 무장과 요마로 넘쳐나는 삼국난세에 맞선다역사와 판타지 그리고 액션이 가득한 다크 삼국 액션 RPG해당 제품은 Digital Deluxe Edition입니다 통산판도 별도 존재합니다각종 콘텐츠의 이용시에는 인터넷 접속이 필요합니다시즌 패스에 포함되는 각종 콘텐츠는 발매 이후에 배포 예정입니다시즌 패스만을 별도 구입 가능한 상품도 존재합니다 중복 구입에 주의해주시기 바랍니다시즌 패스의 각종 콘텐츠를 플레이하식 위해서는 게임 본편을 클리어하실 필요가 있습니다온라인 멀티플레이를 이용하시기 위해서는 PlayStationPlus유료 가입이 필요합니다화면 언어 Wo Long Fallen Dynasty  영어 일본어 한국어 디지털 아트북  디지털 미니 사운드트랙  독일어 러시아어 스페인어 영어 이탈리아어 일본어 중국어 간체자 중국어 번체자 포르투갈어 브라질 프랑스어 프랑스 한국어";"https://image.api.playstation.com/vulcan/ap/rnd/202212/0906/DzCanxv0TxpczEoDjvAdbQsK.png?w=440";"https://image.api.playstation.com/vulcan/ap/rnd/202211/3023/baRiN4zLbqUwHHX5gDVM6xwG.png?w=1920";"https://store.playstation.com//ko-kr/product/JP0106-PPSA05795_00-WOLONGDDX0000000";1
3;"Wo Long: Fallen Dynasty 시즌 패스 (추가 콘텐츠)";"29,800원";"22,350원";"-25%";"이 상품에는 PS4 버전용 콘텐츠와 PS5 버전용 콘텐츠 양쪽이 포함되어 있습니다추가 DLC 중원의 쟁패 강동의 소패왕 형주의 풍운과 시즌 패스 특전 청룡의 갑옷이 세트가 된 시즌 패스입니다새로운 장비 및 액션 적이 추가되며 신규 미션과 스토리를 즐기실 수 있습니다DLC 중원의 쟁패 2023년 6월 배포 예정DLC 강동의 소패왕 2023년 9월 배포 예정DLC 형주의 풍운 2023년 12월 배포 예정시즌 패스의 각종 DLC 배포 날짜는 변경될 수 있습니다각종 콘텐츠의 이용시에는 인터넷 접속이 필요합니다해당 콘텐츠를 이용하시기 위해서는 별도 판매중인 게임 본편이 필요합니다 또한 Wo Long Fallen Dynasty 및 관련 업데이트가 필요한 경우가 있습니다해당 상품을 포함한 세트 상품도 존재합니다 중복 구입에 주의해주시기 바랍니다배포 날짜 및 상세 정보에 관해서는 공식 사이트를 확인해주시기 바랍니다httpsteamninjastudiocomwolong시즌 패스의 각종 콘텐츠를 플레이하시기 위해서는 게임 본편을 클리어하실 필요가 있습니다온라인 멀티플레이를 이용하시기 위해서는 PlayStationPlus유료 가입이 필요합니다";"https://image.api.playstation.com/vulcan/ap/rnd/202302/2105/e6f3367dd99d546a1b47b9a3cab0fa85dffd2f6b3ee8aa0a.png?w=440";"https://image.api.playstation.com/vulcan/ap/rnd/202302/2105/e6f3367dd99d546a1b47b9a3cab0fa85dffd2f6b3ee8aa0a.png?w=780";"https://store.playstation.com//ko-kr/product/JP0106-PPSA05795_00-SEASONPASS000000";1
4;"NBA 2K24 블랙 맘바 에디션 (중국어(간체자), 한국어, 영어, 일본어, 중국어(번체자))";"114,800원";"74,620원";"-35%";"NBA 2K24에서 팀을 모아 농구 문화의 과거와 현재 미래를 경험해 보세요 MyCAREER에서 순수하고 실감 나는 액션과 무한한 MyPLAYER 커스텀 옵션을 즐기세요 MyTEAM에서 감탄이 절로 나오는 전설적인 선수들을 모아 완벽한 나만의 라인업을 완성해 보세요 MyNBA에서 GM이나 커미셔너가 되어 평소 좋아하던 시대를 재현해 보세요 PLAY NOW에서 최애 NBA 및 WNBA 팀과 함께 한 차원 더 발전한 게임플레이와 생생한 비주얼을 경험하세요 새로운 도시에 나만의 발자취를 남기고 눈부시게 아름다운 바닷가 지역을 탐험하거나PS5 엽서 같은 절경과 치열한 경쟁으로 가득한 새로운 동네를 즐기세요PS4 그럼 코트에서 만나요Kobe가 세계적인 슈퍼스타로 자리 잡는 과정의 강력하고 화려했던 선수 시절을 재현해 보세요 혜성처럼 나타난 그의 신예 시절의 업적을 돌아보고 최정예 득점원에서 역사상 가장 위대한 선수 중 한 명으로 거듭나기까지 Kobe의 천재적인 성장 과정을 함께해 보세요NBA 영상을 NBA 2K24 게임플레이로 바로 옮기는 혁신적인 신기술 ProPLAY를 소개합니다차세대만 해당 ProPLAY는 코트 위 NBA 액션을 통해 애니메이션과 움직임을 제공함으로써 진정성 있는 게임 플레이의 새로운 차원을 엽니다 차세대 콘솔 간에 지원되는 크로스 플레이로 NBA 2K24에서 친구들과 함께 무한한 농구의 세계를 경험해 보세요 다이나믹한 전 세계 플레이어들과 협동 모드 경기나 스릴 넘치는 온라인 토너먼트 캐주얼한 픽업 경기에서 같은 팀이 되어 협력하거나 서로 실력을 경쟁해 보세요 본 에디션 포함 내역NBA 2K24 PS4 및 PS5 버전100000 VC15000 MyTEAM 포인트2K24 MyTEAM 선수 5종 옵션 팩 박스MyTEAM 프로모 팩 10박스 사파이어 Kobe Bryant 카드다이아몬드 신발 카드 1개루비 감독 팩 1개MyCAREER 2시간 더블 XP 코인 MyTEAM 2시간 더블 XP 코인MyCAREER 스킬 부스트 유형 6종 10개게토레이 부스트 유형 3종 10개 Kobe Bryant 티셔츠 3개Sabrina Ionescu 티셔츠 1개2K24 백팩2K24 전동 스케이트보드2K24 암 슬리브크로스 플레이는 차세대 NBA 2K24에서만 지원됩니다 NBA 2K 계정 인터넷 연결 별도의 유료 온라인 콘솔 구독 서비스가 필요합니다 가상 화폐와 MyTEAM 보너스 콘텐츠는 NBA 2K 계정 하나당 한 번만 제공되며 두 콘솔 세대에서 모두 사용할 수 있습니다";"https://image.api.playstation.com/vulcan/ap/rnd/202307/2809/191f554b1e42d2d89346f198a8307b8c13a7b5f5cd6c0ab3.png?w=440";"https://image.api.playstation.com/vulcan/ap/rnd/202307/2809/2786898bb6a733168d63a6d243f07705e730c8476c5872d1.jpg?w=1920";"https://store.playstation.com//ko-kr/product/UP1001-PPSA15301_00-NBA2K24MAMBA0000";1
5;"Dead Island 2 (중국어(간체자), 한국어, 영어, 일본어, 중국어(번체자))";"79,800원";"55,860원";"-30%";"많은 사랑을 받은 좀비 시리즈가 돌아왔습니다 개성 있는 호러와 다크한 유머 클래스가 다른 좀비 킬링으로 무장해 끝내주는 B급 어드벤처의 세계가 확장되었죠 Dead Island 2는 스릴 넘치는 1인칭 액션 RPG입니다 스타일리시하며 생동감이 가득하고 좀비 바이러스가 창궐했죠 고어로 흠뻑 젖은 로스앤젤레스의 관광 명소들을 탐험해보세요 매력적인 캐릭터들을 만나보세요 피와 살점이 흩날리는 디테일을 만끽하며 수많은 적들을 썰어보세요 그리고 궁극의 좀비 슬레이어로 거듭나는 겁니다헬에이에 오신 것을 환영합니다 로스앤젤레스 전역에 치명적인 바이러스가 퍼지며 LA는 좀비로 들끓는 도시가 되어버렸습니다 물리고 감염되었지만 여러분은 그저 단순한 좀비 면역자는 아닙니다 좀비 사태의 진실을 파헤치면서 내가 누구인지 아니면 무엇인지 알아나가 보세요 생존하고 진화해 세상을 구하세요게임 피쳐헬에이를 탐험하세요 푸릇푸릇한 교외지 베벌리힐스에서 유명한 베니스 해변 산책로까지 호러와 B급 정서로 물든 천사의 도시의 관광 명소들을 Dead Island 2에서 만나보세요무자비한 근접 무기 샌드박스  머리가 찌릿하는 강렬하고 유혈 낭자한 일인칭 액션을 선사하는 전투 다양한 무기와 전술적인데 잔인한 옵션들로 좀비 떼를 조져 버리세요 썰든 박살 내든 태우든 찢든 그 감각을 온전히 느끼시길 바랍니다궁극의 좀비 학살자가 되세요  선택할 수 있는 캐릭터가 여섯 가지 있습니다 각자 고유의 성격과 대화 내용을 지니고 있죠 각 학살자의 능력은 완전히 새로운 스킬 시스템과 함께 처음부터 끝까지 커스터마이즈할 수 있습니다 능력을 즉시 조절하고 정신 나간 커마에 도전해 보세요 들끓는 좀비  최첨단 처치 시스템을 경험할 준비가 되셨나요 실제처럼 움직이고 진짜처럼 생긴 좀비들이 LA에 들끓고 있습니다 수십 가지 형태로 다양하게 변이된 이 녀석들이 바로 Dead Island 2의 다시 살아 움직이는 썩은 심장이라 할 수 있죠 각자 고유한 돌연변이 공격법 그리고 LA에서 영감을 얻은 수백 가지의 비주얼을 지니고 있답니다 우리의 괴물들은 가차없고 대담하면서 리얼 로스앤젤레스인이라 할 수 있죠 이곳에서 살아남을 수 있을까요시네마틱 협동 어드벤처  제대로 된 RPG 경험을 위해 Dead Island 2는 흥미로운 퀘스트 뒤집어지는 캐릭터 스릴 넘치는 B급 스토리를 선사해 이 뒤틀린 세계에 흠뻑 몰입할 수 있게 해줍니다 분명 N차 플레이를 하게 되실 겁니다 격이 다른 협동 모드가 추가되어 3명이 함께 플레이할 수 있습니다 LA로 유혈 낭자한 기나긴 여행을 떠나세요PS5 및 PS4 Pro 콘솔을 사용하는 플레이어들은 협동 세션을 주최하거나 참여할 수 있습니다 PS4 플레이어는 협동 세션에 참여할 수 있으나 기술적 한계로 인해 세션 주최 시 한 명의 플레이어만 수용할 수 있습니다";"https://image.api.playstation.com/vulcan/ap/rnd/202208/1012/V6WJkRhfNIQ3ePfAmrLSfGng.png?w=440";"https://image.api.playstation.com/vulcan/ap/rnd/202208/1012/IEo9RDMLk0ZBQWhbZMN5lV2p.jpg?w=1920";"https://store.playstation.com//ko-kr/product/EP4062-PPSA03099_00-DI2MAINSIEEPS500";1
6;"귀멸의 칼날 히노카미 혈풍담  PS4＆PS5 (한국어)";"69,800원";"34,900원";"-50%";"PS4 다운로드 판과 PS5 다운로드 판 양쪽을 다운로드할 수 있는 타이틀입니다본 제품은 일반 판입니다 본 제품 외 디럭스 에디션도 있으므로제품 내용 및 특전을 확인 후 구매하십시오혈귀를 멸하는 칼이 되어라솔로 플레이 모드에서는 가족을 살해당하고 혈귀로 변해버린 여동생 네즈코를 사람으로 되돌리기 위해카마도 탄지로가 되어 혈귀와 맞서 싸우는 애니메이션 귀멸의 칼날에서 그려진 스토리를 경험할 수 있다 버서스 모드는 카마도 탄지로와 카마도 네즈코를 비롯한 애니메이션 본편에 등장하는 캐릭터 중 2 캐릭터를 자유롭게 조합하여 2vs2로오프라인 또는 온라인에서 최대 2명의 대전을 즐길 수 있다 심플한 조작으로 통쾌감 있는 플레이를 하여 최강의 혈귀 사냥꾼이 되자세트 구성귀멸의 칼날 히노카미 혈풍담 게임 본편다운로드 판 특전 조기 개방 키 귀멸 학원카마도 탄지로 다운로드 판 특전 PSN 아바타 카마도 탄지로 카마도 네즈코다운로드 판 특전 귀멸의 칼날 히노카미 혈풍담 테마PS4조기 개방 키는 버서스 모드에서 기재된 캐릭터를 처음부터 플레이할 수 있는 특전입니다PSN 아바타에 사용되는 일러스트는 개발 회사인 주식회사 사이버 커넥트 2CyberConnect2에서 게임 내의 3D 모델을 바탕으로 제작된 비주얼입니다테마PS4는 무료 특전이며 PS5에서는 작동되지 않습니다 다운로드는 PS4 스토어에서 실행해 주십시오버서스 모드에서 온라인 플레이를 즐기기 위해서는 PlayStationPlus유료에 가입할 필요가 있습니다온라인 기능을 이용하기 위해서는 최신버전의 패치를 적용할 필요가 있습니다내용사양은 예고없이 일부 변경되는 경우가 있습니다다운로드 판 특전은 영구 부여되는 특전입니다특전은 향후 배포될 가능성이 있습니다PS4 판과 PS5 판의 저장 데이터 트로피 공유는할 수 없습니다이 게임의 PS4 판을 이미 소지하신 경우에는 PS5 다운로드 판을 추가 요금 없이 다운로드할 수 있습니다 본 제품을 구매할 필요는 없습니다 PS4 패키지 판을 소지하신 분은 PS5 다운로드 판을 다운로드하거나 플레이하기 위해서는 그 때마다 디스크를 PS5에 넣을 필요가 있습니다 패키지 판의 PS4 전용 타이틀을 소지하신 분도 디스크를 사용하지 않는 PS5 디지털 에디션을 구매하신 경우에는 PS5 다운로드 판을 추가 요금 없이 획득할 수는 없습니다";"https://image.api.playstation.com/vulcan/ap/rnd/202106/1112/Dz63b9Y9iag0q5tgywtffsBi.png?w=440";"https://image.api.playstation.com/vulcan/ap/rnd/202106/1112/WvnvSUm2jwosrZa0ZP30I4F2.jpg?w=1920";"https://store.playstation.com//ko-kr/product/HP0177-PPSA03457_00-HINOKAMI00000000";1
7;"『귀멸의 칼날 히노카미 혈풍담』 캐릭터 패스 PS4&PS5 (추가 콘텐츠)";"29,800원";"19,370원";"-35%";"7개의 캐릭터 팩을 함께 구입할 수 있습니다캐릭터 패스에 포함되는 추가 콘텐츠는 2022년 12월 말까지 순차적으로 공개될 예정입니다세트 구성우즈이 텐겐 캐릭터 팩카마도 네즈코혈귀화 진행 시 캐릭터 팩카마도 탄지로환락의 거리편 캐릭터 팩아가츠마 젠이츠환락의 거리편 캐릭터 팩하시비라 이노스케환락의 거리편 캐릭터 팩다키 캐릭터 팩규타로 캐릭터 팩본 콘텐츠를 이용하기 위해서는 별도로 판매하는 제품판이 필요합니다 또한 최신 버전의 패치 적용이 필요합니다PS4판과 PS5판 모두 다운로드 가능합니다캐릭터 패스에 포함되는 콘텐츠는 차후 개별로 판매되는 경우가 있습니다 중복 구매에 주의해 주십시오버서스 모드에서 온라인 플레이를 즐기기 위해서는 PlayStationPlus유료에 가입해야 합니다콘텐츠의 세부 내용이나 배포 일정은 변경될 가능성이 있습니다 최신 정보는 공식 웹사이트httpsasiasegacomkimetsuhinokamikr를 확인해 주십시오내용 및 사양은 예고없이 변경되는 경우가 있습니다표시된 일러스트는 개발 회사인 주식회사 사이버 커넥트 2CyberConnect2에 의해 게임 내의 3D 모델을 바탕으로 작성된 비주얼입니다";"https://image.api.playstation.com/vulcan/ap/rnd/202206/2305/gaTR5Q0Qeo9KNjuu4z9cnRNG.png?w=440";"https://image.api.playstation.com/vulcan/ap/rnd/202206/2305/gaTR5Q0Qeo9KNjuu4z9cnRNG.png?w=780";"https://store.playstation.com//ko-kr/product/HP0177-PPSA03457_00-HINOKAMISET00002";1
8;"귀멸의 칼날 히노카미 혈풍담 디럭스 에디션 PS4＆PS5 (한국어)";"84,800원";"42,400원";"-50%";"PS4 다운로드 판과 PS5 다운로드 판 양쪽을 다운로드할 수 있는 타이틀입니다본 제품은 디럭스 에디션입니다 본 제품 외에 일반 판도 있으므로제품 내용 및 특전을 확인 후 구매하십시오혈귀를 멸하는 칼이 되어라솔로 플레이 모드에서는 가족을 살해당하고 혈귀로 변해버린 여동생 네즈코를 사람으로 되돌리기 위해카마도 탄지로가 되어 혈귀와 맞서 싸우는 애니메이션 귀멸의 칼날에서 그려진 스토리를 경험할 수 있다 버서스 모드는 카마도 탄지로와 카마도 네즈코를 비롯한 애니메이션 본편에 등장하는 캐릭터 중 2 캐릭터를 자유롭게 조합하여 2vs2로오프라인 또는 온라인에서 최대 2명의 대전을 즐길 수 있다 심플한 조작으로 통쾌감 있는 플레이를 하여 최강의 혈귀 사냥꾼이 되자세트 구성귀멸의 칼날 히노카미 혈풍담 게임 본편조기 개방 키 귀멸 학원카마도 네즈코 귀멸 학원아가츠마 젠이츠 귀멸 학원하시비라 이노스케게임 내 의상 나비 저택 환자복카마도 탄지로아가츠마 젠이츠하시비라 이노스케PSN 아바타 10종 세트귀멸 포인트 8000 포인트디럭스 에디션 특전 귀멸의 칼날 히노카미 혈풍담 다이내믹 테마 PS4다운로드 판 특전 조기 개방 키 귀멸 학원카마도 탄지로다운로드 판 특전 PSN 아바타 카마도 탄지로카마도 네즈코다운로드 판 특전 귀멸의 칼날 히노카미 혈풍담 테마 PS4PSN 아바타에 사용되는 일러스트는 개발 회사인 주식회사 사이버 커넥트 2CyberConnect2에서 게임 내의 3D 모델을 바탕으로 제작된 비주얼입니다조기 개방 키는 버서스 모드에서 기재된 캐릭터를 처음부터 플레이할 수 있는 특전입니다게임 내 의상은 버서스 모드에서 사용할 수 있습니다귀멸 포인트는 게임 내 보상과 교환할 수 있는 게임 내 아이템입니다8000 포인트는 2 캐릭터분의 조기 개방에 상응하는 포인트 양입니다테마 및 다이내믹 테마 PS4는 무료 특전이며 PS5에서는 작동되지 않습니다 다운로드는 PS4 스토어에서 실행해 주십시오버서스 모드에서 온라인 플레이를 즐기기 위해서는 PlayStationPlus유료에 가입할 필요가 있습니다온라인 기능을 이용하기 위해서는 최신버전의 패치를 적용할 필요가 있습니다내용사양은 예고없이 일부 변경되는 경우가 있습니다다운로드 판 특전은 영구 부여되는 특전입니다특전은 향후 배포될 가능성이 있습니다PS4 판과 PS5 판의 저장 데이터 트로피 공유는할 수 없습니다이 게임의 PS4 판을 이미 소지하신 경우에는 PS5 다운로드 판을 추가 요금 없이 다운로드할 수 있습니다 본 제품을 구매할 필요는 없습니다 PS4 패키지 판을 소지하신 분은 PS5 다운로드 판을 다운로드하거나 플레이하기 위해서는 그 때마다 디스크를 PS5에 넣을 필요가 있습니다 패키지 판의 PS4 전용 타이틀을 소지하신 분도 디스크를 사용하지 않는 PS5 디지털 에디션을 구매하신 경우에는 PS5 다운로드 판을 추가 요금 없이 획득할 수는 없습니다";"https://image.api.playstation.com/vulcan/ap/rnd/202106/1711/OiaCjfnb9hkzYkUGyTMpBTmp.png?w=440";"https://image.api.playstation.com/vulcan/ap/rnd/202106/1112/WvnvSUm2jwosrZa0ZP30I4F2.jpg?w=1920";"https://store.playstation.com//ko-kr/product/HP0177-PPSA03457_00-0000000000000000";1
9;"PS5™ & PS4™용 Madden NFL 24 Deluxe Edition (영어)";"116,000원";"58,000원";"-50%";"Madden NFL 24 Deluxe Edition을 구매하고 다음 혜택을 받으세요4600 Madden 포인트PS5  PS4 버전의 게임 포함PS5용 Madden NFL 24의 SAPIEN Technology 소개SAPIEN Technology는 사실적으로 설계된 선수 모델을 이용해 NFL 선수들의 신체와 움직임에 변화를 가져온 완전히 새로운 캐릭터 기술입니다FieldSENSE PS5 전용PS5의 향상된 FieldSENSE Gameplay System 덕분에 모든 플레이 방식에 더 나은 컨트롤과 현실감을 경험할 수 있습니다게임 플레이향상된 AI PS5 전용스마트해진 AI 덕분에 선수의 반응이 더욱 부드럽고 사실적으로 구현됩니다SkillBased Passing 20 PS5 전용향상된 캐칭 AI와 새로운 던지기 애니메이션으로 승리로 향하는 원핸드 캐치를 하세요Hit Everything 20 PS5 전용팀원들의 평가와 상황 판단력이 더욱 영향력을 발휘하여 효과적으로 공격할 수 있습니다게임 모드Superstar The League PS5 전용슈퍼스타를 커스터마이즈하여 NFL Combine 같은 목표를 완료해 드래프트 순서를 결정하고 새로운 미니 게임과 다양한 포지션에서 실시간 선수 평가를 받으며 자신만의 레거시를 구축하세요Superstar Showdown PS5 전용새로운 3대3 게임플레이 환경에서 자신을 마음껏 뽐내세요PS5 Franchise 업데이트 사항새로운 미니 게임 간소화된 재배치 더 많아진 트레이드 슬롯 계약 재구성으로 Franchise의 역사에 한 획을 그으세요크로스플레이 PS5 전용온라인 일대일 등에서 다양한 플랫폼의 플레이어들과 함께 플레이하세요이 게임은 게임 내에서 사용되는 가상 화폐를 게임 내 구매 및 이용할 수 있으며 이를 통해 확률형 아이템을 포함한 게임 내 가상 아이템을 구매할 수 있습니다조건이 적용됩니다 상세 사항은 httpswwweacomgamesmaddennflmaddennfl24crossplay 를 참조하십시오";"https://image.api.playstation.com/vulcan/ap/rnd/202310/0418/5c11ad9d0f8822effb3b145c17ad339f1af6307db5b8a82c.png?w=440";"https://image.api.playstation.com/vulcan/ap/rnd/202310/0418/a59050be4c602c0d77efa8e7e5a8c32972dd4a42bf9ee4a1.png?w=1920";"https://store.playstation.com//ko-kr/product/UP0006-PPSA10508_00-DELUXEEDITIONM24";1
10;"Assassin's Creed® Valhalla 컴플리트 에디션 PS4 & PS5 (중국어(간체자), 한국어, 영어, 일본어, 중국어(번체자))";"150,000원";"37,500원";"-75%";"본 제품을 소지한 고객님께서는 해당 게임의 디지털 PS4 버전과 디지털 PS5 버전 모두를 보유하실 수 있습니다지원 언어인터페이스  자막 영어 일본어 한국어 중국어 번체간체음성 영어 일본어원본 게임 및 시즌 패스 얼티밋 장식 팩 Assassins Creed Valhalla 라그나로크의 서막 확장팩이 포함되어 있습니다Assassins Creed Valhalla에서 적들을 습격하고 정착지를 개척하며 발할라에 있는 신들과 함께하기 위한 퀘스트를 완수하여 정치적인 역량을 키워나가세요 시즌 패스 콘텐츠에는 드루이드의 분노 및 파리 포위전 확장팩이 포함되어 있습니다 얼티밋 팩에는 장비 세트 정착지 팩 롱쉽 팩이 들어있는 광전사 번들이 포함되어 있습니다 Assassins Creed Valhalla 라그나로크의 서막 확장팩 오딘의 운명을 받아들이고 웅장한 서사를 완수하십시오";"https://image.api.playstation.com/vulcan/ap/rnd/202202/0415/ftIpLCoyHCsWzH3EjYH6B9Mh.png?w=440";"https://image.api.playstation.com/vulcan/ap/rnd/202204/0718/erLJQpJZuMR9iacVaYMfnl37.jpg?w=1920";"https://store.playstation.com//ko-kr/product/JP0001-PPSA01504_00-EDITIONCOMPLETE0";1
