"NUM";"TITLE";"PRICE";"SALEPRICE";"SALEPER";"DESCRIPTION";"IMGDATA";"GAMEIMG";"URL";"VARIA"
1;"산나비";"₩ 15,500";"₩ 12,400";"-20%";"기계팔로 무장한 퇴역 군인은 초거대 재벌의 부패한 사유 도시를 오릅니다 도시에 숨겨진 비밀을 밝혀내기 위해 그리고 산나비를 찾아내 복수하기 위해 사이버펑크 디스토피아를 배경으로 펼쳐지는 역동적이고 스타일리쉬한 2D 사슬 액션 어드벤처 플랫포머 게임 산나비입니다";"https://cdn.akamai.steamstatic.com/steam/apps/1562700/header_koreana.jpg?t=1699513185";"https://cdn.akamai.steamstatic.com/steam/apps/1562700/ss_9309623510d853bf750877457f863e45eb7c6cbe.1920x1080.jpg?t=1699513185";"https://store.steampowered.com/app/1562700/?snr=1_2300_4__salebrowseall";1
2;"Age of Empires IV: Anniversary Edition";"₩ 39,900";"₩ 19,950";"-50%";"수백만 명의 글로벌 플레이어를 기쁘게하는 첫 해를 축하하는 수상 경력에 빛나는 베스트셀러 전략 프랜차이즈는 에이지 오브 엠파이어 IV 기념일 에디션으로 계속되어 세계를 형성 한 더욱 서사시적인 역사적 전투의 중심에 서게합니다";"https://cdn.akamai.steamstatic.com/steam/apps/1466860/header.jpg?t=1695149980";"https://cdn.akamai.steamstatic.com/steam/apps/1466860/ss_2ae5b5a2a779c31e3acae486ec359b0d9087bc8c.1920x1080.jpg?t=1695149980";"https://store.steampowered.com/app/1466860/Age_of_Empires_IV_Anniversary_Edition?snr=1_2300_4__salebrowseall";1
3;"Risk of Rain Returns";"₩ 16,500";"₩ 14,020";"-15%";"섬세한 디자인과 눈이 즐거운 리마스터링 각종 새로운 플레이 방식으로 무장한 사상 최고의 Risk of Rain이 돌아왔습니다 개성 넘치는 전리품 조합 새로운 생존자로 보강된 게임성 완전히 개편된 멀티플레이어 Risk of Rain 2에서 사랑받았던 콘텐츠 등 상징적인 로그라이크의 세계로 뛰어드세요";"https://cdn.akamai.steamstatic.com/steam/apps/1337520/header.jpg?t=1699546769";"https://cdn.akamai.steamstatic.com/steam/apps/1337520/ss_d2d457ccd93e9c59b9fe5fe37bd2b85bfcf5f8e4.1920x1080.jpg?t=1699546769";"https://store.steampowered.com/app/1337520/Risk_of_Rain_Returns?snr=1_2300_4__salebrowseall";1
4;"Grounded";"₩ 39,900";"₩ 23,940";"-40%";"The world is a vast beautiful and dangerous place  especially when you have been shrunk to the size of an ant Can you thrive alongside the hordes of giant insects fighting to survive the perils of the backyard";"https://cdn.akamai.steamstatic.com/steam/apps/962130/header.jpg?t=1699908769";"https://cdn.akamai.steamstatic.com/steam/apps/962130/ss_91a03b79d881f37cc7d39b5baf5bb597d344fabe.1920x1080.jpg?t=1699908769";"https://store.steampowered.com/app/962130/Grounded?snr=1_2300_4__salebrowseall";1
5;"Crusader Kings III";"₩ 52,000";"₩ 26,000";"-50%";"사랑하고 싸우고 계략을 세우고 위대함을 쟁취하세요 Crusader Kings III의 마구 뻗어 나가는 대전략 게임에서 귀족 가문의 유산을 결정하세요 풍부하고 개성 넘치는 중세 시대 시뮬레이션 속 왕조 혈통을 이어나가는 이곳에서 죽음은 단지 시작일 뿐입니다";"https://cdn.akamai.steamstatic.com/steam/apps/1158310/header.jpg?t=1699549461";"https://cdn.akamai.steamstatic.com/steam/apps/1158310/ss_950a6f6dc67f521877345db6d2c0cebb27ddc528.1920x1080.jpg?t=1699549461";"https://store.steampowered.com/app/1158310/Crusader_Kings_III?snr=1_2300_4__salebrowseall";1
6;"Satisfactory";"₩ 31,000";"₩ 17,050";"-45%";"Satisfactory is a firstperson openworld factory building game with a dash of exploration and combat Play alone or with friends explore an alien planet create multistory factories and enter conveyor belt heaven";"https://cdn.akamai.steamstatic.com/steam/apps/526870/header_alt_assets_1.jpg?t=1699977810";"https://cdn.akamai.steamstatic.com/steam/apps/526870/ss_9083ccf8fbb22c4068a6e233e3de343f815f9dc1.1920x1080.jpg?t=1699977810";"https://store.steampowered.com/app/526870/Satisfactory?snr=1_2300_4__salebrowseall";1
7;"Remnant II";"₩ 53,000";"₩ 37,100";"-30%";"Remnant II는 인류의 생존자들이 무시무시한 세계를 활보하며 전에 없던 치명적인 생명체들과 신에 가까운 보스들에 대항하는 내용을 담은 베스트셀러 게임 Remnant From the Ashes의 속편입니다";"https://cdn.akamai.steamstatic.com/steam/apps/1282100/header.jpg?t=1699981641";"https://cdn.akamai.steamstatic.com/steam/apps/1282100/ss_00d09f2e2cc5eee5e3af45c6f158120deb0fcef3.1920x1080.jpg?t=1699981641";"https://store.steampowered.com/app/1282100/Remnant_II?snr=1_2300_4__salebrowseall";1
8;"EZ2ON REBOOT : R";"₩ 44,800";"₩ 29,120";"-35%";"모두가 함께 즐기는 리듬 게임 EZ2ON REBOOT  R  유명 리듬게임 프랜차이즈인 EZ2ON의 최신작을 Steam에서 즐길 수 있습니다 시리즈를 총망라하는 게임 속의 명곡들과 새로운 감각의 콘텐츠들을 플레이하며 EZ2ON만의 즐거움에 빠져보세요";"https://cdn.akamai.steamstatic.com/steam/apps/1477590/header.jpg?t=1688723905";"https://cdn.akamai.steamstatic.com/steam/apps/1477590/ss_bd0b9e6a48c44ce7abbb1220544424c024ea475f.1920x1080.jpg?t=1688723905";"https://store.steampowered.com/app/1477590/EZ2ON_REBOOT__R?snr=1_2300_4__salebrowseall";1
9;"라이자의 아틀리에3 ~종극의 연금술사와 비밀의 열쇠~";"₩ 69,800";"₩ 48,860";"-30%";"마지막 여름 최후의 비밀 라이자 일행의 마지막 여름의 모험이 드디어 시작된다";"https://cdn.akamai.steamstatic.com/steam/apps/1999770/header_koreana.jpg?t=1695968333";"https://cdn.akamai.steamstatic.com/steam/apps/1999770/ss_8fc33edd37e706cb208eacbe51553fe884b7ab76.1920x1080.jpg?t=1695968333";"https://store.steampowered.com/app/1999770/_3?snr=1_2300_4__salebrowseall";1
10;"Overcooked! 2";"₩ 26,000";"₩ 6,500";"-75%";"혼란스러운 요리 액션으로 가득한 Overcooked가 돌아왔습니다 양파 왕국으로 돌아가는 여행을 떠나세요 클래식 협동 또는 온라인 플레이에서 셰프 팀을 만들어서 최대 4명까지 플레이하세요 앞치마를 준비하세요 다시 세상을 구할 때가 되었습니다";"https://cdn.akamai.steamstatic.com/steam/apps/728880/header.jpg?t=1670442579";"https://cdn.akamai.steamstatic.com/steam/apps/728880/ss_2f84a12e1fe82cca37848bf29d4b8b16e83db03b.1920x1080.jpg?t=1670442579";"https://store.steampowered.com/app/728880/Overcooked_2?snr=1_2300_4__salebrowseall";1
