"NUM";"TITLE";"genre"
1;"산나비";"액션"
2;"산나비";"픽셀 그래픽"
3;"산나비";"어드벤처"
4;"산나비";"사이버펑크"
5;"산나비";"2D 플랫폼"
6;"산나비";"액션 어드벤처"
7;"산나비";"플랫폼"
8;"산나비";"풍부한 스토리"
9;"산나비";"2D"
10;"산나비";"싱글 플레이어"
12;"산나비";"인디"
13;"산나비";"횡스크롤"
14;"산나비";"고난이도"
19;"산나비";"앞서 해보기"
20;"산나비";"로그라이크"
50;"Risk of Rain Returns";"액션"
51;"Risk of Rain Returns";"우주"
52;"Risk of Rain Returns";"아케이드"
53;"Risk of Rain Returns";"클래스 기반"
54;"Risk of Rain Returns";"약탈"
55;"Risk of Rain Returns";"분위기 있는"
56;"Risk of Rain Returns";"로그라이크"
57;"Risk of Rain Returns";"전투"
58;"Risk of Rain Returns";"싱글 플레이어"
59;"Risk of Rain Returns";"협동"
60;"Risk of Rain Returns";"4명 로컬 플레이"
61;"Grounded";"생존"
62;"Grounded";"멀티플레이어"
63;"Grounded";"오픈 월드 생존 제작"
64;"Grounded";"기지 건설"
65;"Grounded";"협동"
66;"Grounded";"크래프팅"
67;"Grounded";"어드벤처"
68;"Grounded";"오픈 월드"
69;"Grounded";"공포"
70;"Grounded";"온라인 협동"
71;"Grounded";"액션"
72;"Grounded";"탐험"
73;"Grounded";"샌드박스"
74;"Grounded";"1인칭"
75;"Grounded";"싱글 플레이어"
76;"Grounded";"RPG"
77;"Grounded";"앞서 해보기"
78;"Grounded";"3인칭"
79;"Grounded";"귀여운"
80;"Grounded";"유머"
81;"Crusader Kings III";"전략"
82;"Crusader Kings III";"시뮬레이션"
83;"Crusader Kings III";"중세"
84;"Crusader Kings III";"RPG"
85;"Crusader Kings III";"대전략"
86;"Crusader Kings III";"역사"
87;"Crusader Kings III";"경영"
88;"Crusader Kings III";"실시간 전략"
89;"Crusader Kings III";"캐릭터 커스터마이즈"
90;"Crusader Kings III";"생활 시뮬레이션"
91;"Crusader Kings III";"샌드박스"
92;"Crusader Kings III";"선택의 중요성"
93;"Crusader Kings III";"싱글 플레이어"
94;"Crusader Kings III";"4X"
95;"Crusader Kings III";"전쟁"
96;"Crusader Kings III";"경제"
97;"Crusader Kings III";"모드 가능"
98;"Crusader Kings III";"정치적"
99;"Crusader Kings III";"멀티플레이어"
100;"Crusader Kings III";"일시 정지 가능한 실시간"
101;"Satisfactory";"기지 건설"
102;"Satisfactory";"자동화"
103;"Satisfactory";"오픈 월드"
104;"Satisfactory";"멀티플레이어"
105;"Satisfactory";"크래프팅"
106;"Satisfactory";"협동"
107;"Satisfactory";"자원관리"
115;"Satisfactory";"생존"
116;"Satisfactory";"전략"
117;"Satisfactory";"1인칭"
118;"Satisfactory";"공상과학"
119;"Satisfactory";"싱글 플레이어"
120;"Satisfactory";"PvP"
121;"Remnant II";"소울라이크"
122;"Remnant II";"액션"
163;"라이자의 아틀리에3 ~종극의 연금술사와 비밀의 열쇠~";"JRPG"
164;"라이자의 아틀리에3 ~종극의 연금술사와 비밀의 열쇠~";"컬렉터톤"
165;"라이자의 아틀리에3 ~종극의 연금술사와 비밀의 열쇠~";"RPG"
166;"라이자의 아틀리에3 ~종극의 연금술사와 비밀의 열쇠~";"파티 기반 RPG"
167;"라이자의 아틀리에3 ~종극의 연금술사와 비밀의 열쇠~";"퍼즐"
168;"라이자의 아틀리에3 ~종극의 연금술사와 비밀의 열쇠~";"귀여운"
169;"라이자의 아틀리에3 ~종극의 연금술사와 비밀의 열쇠~";"3D"
