"NUM";"TITLE";"PRICE";"SALEPRICE";"SALEPER";"DESCRIPTION";"IMGDATA";"GAMEIMG";"URL";"VARIA"
1;"태고의 달인 Nintendo Switch 버~전!";"₩ 64,800";"₩ 8,800";"-86%";"";"https://store.nintendo.co.kr/media/catalog/product/cache/559013652f8c31ac036888adc145c37f/6/0/609021b899d3e121e46b5568a66a1e93c961fcc4f97646eb3887252ac2eab292.jpg";"";"https://store.nintendo.co.kr/70010000011790";1
2;"SANABI";"₩ 15,500";"₩ 12,400";"-20%";"사이버펑크 조선을 배경으로 진행되는 빠르고 호쾌한 액션 플랫포머 게임
기계팔로 무장한 퇴역 군인은 초거대 재벌의 부패한 사유 도시를 오릅니다 도시에 숨겨진 비밀을 밝혀내기 위해 그리고 산나비를 찾아내 복수하기 위해 사이버펑크 디스토피아를 배경으로 펼쳐지는 역동적이고 스타일리쉬한 2D 사슬 액션 어드벤처 플랫포머 게임 산나비입니다";"https://store.nintendo.co.kr/media/catalog/product/cache/559013652f8c31ac036888adc145c37f/3/8/388c44e0d71fe18d0cdfb7805aeb0c870144b11c4b241dc64b51e9a8ca837f67_1699344704.jpg";"https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/3/8/388c44e0d71fe18d0cdfb7805aeb0c870144b11c4b241dc64b51e9a8ca837f67_1699344704.jpg";"https://store.nintendo.co.kr/70010000056428";1
3;"닌자 박스";"₩ 44,800";"₩ 1,800";"-95%";"만들자 너만의 꿈의 비밀 기지
Nintendo Switch에서 시작되는 말도 안 되는 닌자들과의 꿈의 비밀기지 만들기
누구나 한 번은 동경하는 나만의 비밀 기지예를 들면 내가 좋아하는 것을 모아둔 휴식 공간 예를 들면 길을 잃을 만큼 커다란 거대 요새세상에 단 하나뿐인 나만의 비밀 기지를 만들 수 있는 게임 그것이 바로 닌자 박스입니다닌자 박스의 게임 포인트는 모은다 만든다 싸운다 등 3가지
포인트 1 모은다거리에서 잡동사니를 모으자주인공이 사는 오시나 마을에서 비밀 기지의 재료가 될 잡동사니를 모으자 모은 잡동사니를 전설의 닌자 도구 닌자 박스에게 건네주면 비밀 기지를 만들 때 필요한 파츠인 건축 재료나 인테리어 함정을 만들 수 있다잡동사니뿐만이 아니야 거리에 숨은 탈주 닌자들을 찾아 동료로 만들자마을에는 말도 안 되는 인법을 사용하는 탈주 닌자들이 숨어있다 탈주 닌자를 찾아내 동료로 만들고 내 비밀 기지에 데려가자 탈주 닌자가 가진 특별한 설계도가 비밀 기지 만들기에 도움이 될 때도 있다
포인트 2 만든다나만의 비밀 기지를 만들자모은 잡동사니로 만든 파츠를 자유롭게 조합하여 나만의 비밀 기지를 만들자골판지나 콘크리트 등으로 만든 건축 재료를 사용해서 높이도 넓이도 자유자재로 비밀 기지를 만들 수 있다 에스컬레이터나 엘리베이터로 쉽게 이동할 수 있게 연구하거나 해먹과 소파 등 다양한 인테리어로 취향에 맞게 꾸밀 수 있다
포인트 3 싸운다함정과 탈주 닌자로 침입자와 맞서 싸우자비밀 기지에는 닌자 박스를 노리는 적 조직 와장창사가 공격해 온다 동료 탈주 닌자와 함께 골판지 캐논으로 포격하거나 구멍을 파고 냄새 가스로 공격하는 등 다양한 함정을 설치해서 와장창사와 맞서 싸우자닌자 박스는 말도 안 되는 닌자들과의 시끌벅적한 스토리도 매력 중 하나한때 영화를 누렸던 뒷세계의 주민 닌자들은 조용히 현대를 살아가고 있었다 타테마쿠리 마을의 부흥을 위해 일어난 장로 닌자 타테조우와 내 방을 가지고 싶은 주인공 인기 닌튜버가 되고 싶은 닌자 톤카치의 하이텐션 시끌벅적 비밀 기지 만들기 스토리가 펼쳐진다
말도 안 되는 닌자들과 모으고 만들고 싸우며 나만의 꿈의 비밀 기지 만들기를 즐기자";"https://store.nintendo.co.kr/media/catalog/product/cache/559013652f8c31ac036888adc145c37f/5/5/5505190a722ea8b9e042f5e54ceadd2cc64be4260a44ed6cb0dd14b266838c18_1.jpg";"https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/5/5/5505190a722ea8b9e042f5e54ceadd2cc64be4260a44ed6cb0dd14b266838c18_1.jpg";"https://store.nintendo.co.kr/70010000023989";1
4;"패션 드리머";"₩ 54,800";"₩ 49,320";"-10%";"멋진 패션 인플루언서를 향해
가상 공간에서 나다운 패션을 자유롭게 표현하세요완전히 새로운 패션  커뮤니케이션 게임에서 즐기는 인플루언서의 삶패션 코디를 제안하고 좋아요를 모으세요가상 공간에는 뮤즈들이 등장합니다 항상 스타일에 관심이 많은 친구들이에요새로운 코디에 목마른 뮤즈들에게센스 가득한 코디를 제안해 보세요뮤즈들은 당신의 코디가 마음에 들면 좋아요를 선물해 줍니다좋아요를 많이 모아서 멋진 인플루언서로 성장해 보세요좋아요를 보내고 마음에 드는 아이템을 획득하세요우연히 마주친 뮤즈 뮤즈가 착용한 패션 아이템이 마음에 든다면상대에게 좋아요만 보내도 바로 아이템을 받을 수 있어요이렇게 받은 아이템은 직접 입을 수도 있고 다른 뮤즈에게 코디를 제안할 때도 사용할 수 있습니다마이 브랜드를 런칭해서 개성 넘치는 아이템을 제작해 보세요패션 아이템의 기본 디자인 1400종 이상마음에 드는 디자인을 선택하고 색상을 마음껏 골라 보세요 손쉽게 나만의 아이템을 만들 수 있습니다완성된 아이템은 마이 브랜드 아이템에 등록됩니다다양한 아이템을 제작하고 뮤즈들에게 추천하며 브랜드를 키워나갈 수 있습니다전 세계 플레이어 뮤즈와 함께하는 온라인 모드온라인에 연결되면 다른 플레이어 뮤즈들이 당신의 세상 속에 나타납니다플레이어 뮤즈들이 착용한 오리지널 코디를 입어도 보고 당신의 코디를 여기저기 소문내 보세요어느새 온 세상에서 좋아요가 날아들지도 몰라요
알림다운로드 버전 특전 디자인 세트 걸리시 코디게임 내에서 입수 가능한 레어한 소모형 디자인 4종류가 3장 세트로된 다운로드 콘텐츠입니다 게임을 진행하면 플레이 가능한 아이템 크리에이트로 자신이 갖고 있는 디자인을 선택하여 컬러를 설정하여 당신만의 멋진 브랜드 아이템을 만들수 있습니다만든 아이템은 자신이 입거나 쇼룸에 장식하거나 다른 뮤즈에게 입히면 좋아요를 받으며 전 세계의 사람들에게 널리 퍼져갈지도 모르겠네요소모형 디자인　사용 횟수에 제한이 있는 대신에 전용 키나 포인트 없이도 사용 가능한 디자인입니다본 다운로드 콘텐츠의 내용세일러 칼라 미모사 자수 블라우스 디자인소모형3장레트로 장미무늬 쇼트 팬츠 디자인소모형3장바이컬러 슈즈 디자인소모형3장빈티지 진주 귀고리 디자인소모형3장다운로드 콘텐츠는 튜토리얼을 진행하면 아이템 크리에이트에서 사용할 수 있습니다다운로드 콘텐츠의 디자인은 다른 플레이어도 게임 내에서 입수 가능할 수도 있습니다기간한정 10 OFF세일 중다운로드 버전을 10 할인된 특별한 가격으로 구입하실 수 있는 기간한정 세일을 2023년 11월 20일월까지 실시합니다플레이하기 위해 필요한 것 본 게임은 인터넷에 접속하면 온라인 모드를 즐길 수 있습니다 온라인 모드에서 즐길 수 있는 각종 기능에 대한 자세한 내용은 온라인 매뉴얼을 확인해 주세요 온라인 모드를 즐기기 위해서는 별도의 인터넷 접속 환경이 필요합니다 인터넷 접속에 필요한 요금은 별도 부담이며 Nintendo Switch Online 가입은 필요하지 않습니다 온라인 모드는 당사의 재량에 따라 사전 공지를 한 후 변경 및 종료될 수 있습니다 본 게임은 인터넷을 통해 업데이트를 제공할 수 있습니다 업데이트가 되지 않을 경우 게임 내 일부 기능이 제한되어 이용이 불가능할 수 있습니다";"https://store.nintendo.co.kr/media/catalog/product/cache/559013652f8c31ac036888adc145c37f/2/3/230822_fd_banner_1.jpg";"https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/2/3/230822_fd_banner_1.jpg";"https://store.nintendo.co.kr/70010000059971";1
5;"Phoenix Wright: Ace Attorney Trilogy(역전재판 123 나루호도 셀렉션)";"₩ 36,100";"₩ 11,900";"-67%";"법정 배틀 어드벤쳐 역전재판 시리즈의 원점이 하나로
2001년 10월 제 1작을 발매한 이래 전세계 누계 670만개 이상을 기록하는 역전재판시리즈본작은 법정을 무대로 뜨거운 배틀이 펼쳐지는 어드벤쳐게임 플레이어는 변호사 나루호도 류이치가 되어 억울한 죄를 추궁받는 의뢰인을 위해 재판에 도전한다시리즈의 원점이 되는 역전재판 소생하는 역전역전재판 2역전재판 3의 세작품 전14화를 그래픽을 파워업해 1개에 수록모든 이야기를 마지막까지 지켜볼 때 숨겨진 최후의 진실에 다다른다";"https://store.nintendo.co.kr/media/catalog/product/cache/559013652f8c31ac036888adc145c37f/f/i/file_81_2.jpg";"https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/f/i/file_81_2.jpg";"https://store.nintendo.co.kr/70010000015845";1
6;"Ni no Kuni: Wrath of the White Witch";"₩ 54,800";"₩ 4,800";"-91%";"또 하나의 세계인 Ni no Kuni Wrath of the White Witch로 다시 한번 여행을 떠나 보세요 LEVEL5의 고전적인 이야기가 Nintendo Switch로 돌아옵니다 올리버가 비극적인 사건으로부터 엄마를 구하기 위해 새로운 친구들을 만나고 위협적인 적들과 싸우며 세계를 돌아다니는 모험에 동참하세요마법책인 매직마스터 한 권을 손에 들고 믿음직한 친구인 시즈쿠와 함께 올리버는 다채로운 판타지 세계를 횡단하며 이마젠을 기르고 적과 싸우며 엄마를 구하기 위해 무수한 시련을 극복하고 버틸 것입니다
이 매력적인 이야기는 전설적인 Ghibli Studio의 애니메이션과 유명한 Joe Hisaishi가 작곡한 음악으로 펼쳐집니다 Ni no Kuni Wrath of the White Witch는 아름다운 애니메이션 비주얼 꽉 찬 스토리텔링 훌륭한 음악이 합쳐져 전례 없는 전설적인 롤플레잉 어드벤처 게임으로서 탄생했습니다";"https://store.nintendo.co.kr/media/catalog/product/cache/559013652f8c31ac036888adc145c37f/n/n/nnk_hero_1.jpg";"https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/n/n/nnk_hero_1.jpg";"https://store.nintendo.co.kr/70010000016903";1
7;"장미와 동백 - 호화찬란 버전";"₩ 15,560";"₩ 12,450";"-19%";"여자의 싸움은 꽃과도 같다화려하게 피어나는 싸다구의 폭풍결착은 Nintendo Switch에 짓도록 하죠
화족의 결투라 함은 맞아요 싸다구화면을 스와이프하거나 JoyCon을 휘둘러 상대에게 강렬한 일격을게다가 JoyCon을 하나씩 써서 2명이서 싸다구 결투를 할 수 있다고요자아 여러분 사이좋게 싸다구를 날리며 결투하죠Nintendo Switch판장미와 동백의 특징브라우저 게임이나 스마트폰 어플에서 즐겼던 싸다구 액션게임 장미와 동백이 총 애니메이션 칸 수가 약 2000장새로 단장하여 Nintendo Switch로 등장몸을 움직여 즐길 수 있다　　JoyCon을 쥐고 리얼하게 싸다구를 결정짓자로컬 대전에서 다 함께 즐길 수 있다　　본 소프트 1개 Switch 본체 1대무선 접속한 JoyConL  R이 있으면 2명이서 대전을 즐길 수 있습니다긴장감이 넘치는 일격 필살 모션　　한 턴에 때릴 수 있는 싸다구는 한 번 뿐 페인트를 섞어가며 조준하고 상대를 처리하자일본어 풀 보이스로 현장감이 가득　　유서 깊은 화족의 심한 대화들을 들으면 싸다구 대결을 한 층 더 열성적으로 할 수 있습니다게임 소개플레이어는 화족 츠바키코지 가문의 일원이 되어 저마다의 목표를 달성하기 위해 앞을 막아서는 사람들과 싸다구 결투를 펼치는 액션 게임입니다싸다구 액션은 JoyConR을 세로로 들어 휘두르는 방식이나 화면을 스와이프하는 방식으로 총 2가지 방식을 선택할 수 있습니다왼손잡이이신 분들이 왼손으로 JoyCon을 휘둘러도 제대로 즐기실 수 있습니다단 게임 내의 캐릭터는 오른손잡이를 기준으로 애니메이션이 구성되어 있습니다혼자서 즐기는 시나리오 모드는 주인공 배경 목적이 저마다 다른 전설의 장미 며느리복수의 하얀 동백월드 유스편평온한 동백의 일상으로 4가지와 번외 시나리오인 LAMULANA 편까지 총 5개의 시나리오를 플레이하실 수 있습니다츠바키코지 가문에서 벌어지는 권력다툼이 진지하거나 익살스럽게 그려진 스토리를 즐기며 싸다구 스킬을 단련해보세요상대와의 싸움은 턴제로 싸다구공격와 회피수비를 교대로 진행하며 싸다구를 견딜 HP가 없어진 쪽이 패배하는 심플한 규칙으로 구성되어 있습니다1턴에 때릴 수 있는 싸다구는 1번 뿐이며 회피에는 제한이 없으니 상대가 휘두르는 모션이나 회피 모션을 파악하는 것도 중요합니다줄타기하는 듯한 긴장감과 일격필살의 달성감을 즐겨주세요";"https://store.nintendo.co.kr/media/catalog/product/cache/559013652f8c31ac036888adc145c37f/2/4/244b892cf1d8a61558ea66d9164800da7011a40cc4dcc6f88e4b9fe33053bf4c_1693901556.jpg";"https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/2/4/244b892cf1d8a61558ea66d9164800da7011a40cc4dcc6f88e4b9fe33053bf4c_1693901556.jpg";"https://store.nintendo.co.kr/70010000062210";1
8;"페르소나5 더 로열 (PERSONA5 THE ROYAL)";"₩ 69,800";"₩ 45,370";"-35%";"빼앗아라 그 의지로
아틀러스가 선사하는 쥬브나일 RPG 시리즈의 최신작 P5R이 또다시 등장 주인공은 어떤 사정으로 도쿄의 고등학교로 전학하게 된 소년 낮에는 극히 평범한 고등학생 방과 후에는 부패한 어른들의 왜곡된 욕망을 훔치는 괴도로 암약개성 넘치는 동료들과 함께하는 세상 바로잡기의 행보는 과연페르소나5 더 로열에서 판매되었던 40종 이상의 DLC를 처음부터 플레이 가능한 상태로 수록
알림
이 소프트웨어에는 인터넷에 접속할 수 있는 환경과 Nintendo Switch Online 가입유료이 필요한 모드나 기능이 있습니다";"https://store.nintendo.co.kr/media/catalog/product/cache/559013652f8c31ac036888adc145c37f/2/0/206a3b6840d9f5a709db879bdf003de07b184b8065473a0447eb2ed3b350fee7.jpg";"https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/2/0/206a3b6840d9f5a709db879bdf003de07b184b8065473a0447eb2ed3b350fee7.jpg";"https://store.nintendo.co.kr/70010000043097";1
9;"미스터 드릴러 드릴랜드";"₩ 32,800";"₩ 4,800";"-85%";"미스터 드릴러 드릴랜드 체험판다운로드 번호 D3GM 3304 3TBB YMFB

즐거운 땅파기 액션 퍼즐 게임 미스터 드릴러역대급 지하 테마파크 오픈
지하 500미터에 건설된 드릴랜드는 드릴러 협회와 지하 왕국이 공동으로 개발한 거대 테마파크예요여기에 개성 풍부하고 성능도 각기 다른 6명의 드릴러 친구들이 놀러왔어요
대모험활극도 있고 신비스러운 우주도 있고 공포도 있는 그런 버라이어티 넘치는 5개의 어트랙션 게임에 도전해보세요6명의 드릴러 친구들은 무사히 어트랙션을 전부 끝까지 해낼 수있을까요
2020년은 가정용판 미스터 드릴러 발매 20주년이라는 기념비적인 해입니다이 작품은 2002년에 발매된 GAMECUBE판 미스터 드릴러 드릴랜드의 이식작이에요당시처럼 간단한 조작으로도 달성감 넘치는 액션 퍼즐 게임의 감각은 그대로 그래픽도 새롭게 고쳤고 초보자여도 쉽게 플레이할 수 있는 캐주얼 코스가 추가되었어요또한 당시와 같은 난이도를 즐길 수 있는 클래식 코스로도 플레이하실 수 있죠
드릴러 카드와 선물 등 파고들기 요소도게임을 플레이하면 할수록 모이는 게임 내 포인트를 사용해서 드릴러 카드를 모으거나 선물을 구매하는 등의 파고들기 요소도 충실해요
모두 함께 즐기는 미스터 드릴러게다가 나눔 플레이를 이용한 4인 대전 모드에서 모두 함께 신나게 미스터 드릴러를 즐길 수도 있어요";"https://store.nintendo.co.kr/media/catalog/product/cache/559013652f8c31ac036888adc145c37f/9/4/945ba088f74d34cbfdb5b83a650efe3204016f22f18f8176cc333e20dd54028c.jpg";"https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/9/4/945ba088f74d34cbfdb5b83a650efe3204016f22f18f8176cc333e20dd54028c.jpg";"https://store.nintendo.co.kr/70010000028222";1
10;"페르소나4 더 골든 (Persona 4 The Golden)";"₩ 19,800";"₩ 13,860";"-30%";"오전 0시 심야 텔레비전에 누군가 비친다
심야 텔레비전이란 거 알아비오는 날 밤에 꺼진 텔레비전 화면을 바라보고 있으면운명의 상대가 보인대시골 마을에서 일어난 연쇄 살인 사건 그와 동시에 퍼진 기묘한 소문그리고 막다른 미래를 암시하듯 마을을 감싼 원인 불명의 안개주인공과 동료들은 정체불명의 살인범의 수수께끼를 추적하며이세계로 가는 문을 열게 된다그 문의 열쇠는 마음의 힘 또 하나의 자신 페르소나페르소나3 포터블이 특별 가격의 세트로 구성된 번들판도 있습니다
알림
이 소프트웨어에는 인터넷에 접속할 수 있는 환경과 Nintendo Switch Online 가입유료이 필요한 모드나 기능이 있습니다
인터넷에 접속하면 일부 기능을 사용할 수 있습니다";"https://store.nintendo.co.kr/media/catalog/product/cache/559013652f8c31ac036888adc145c37f/4/4/441524f7a599c58e14fb34a8e536e5343868e9929474a38233e43b911ce46329.jpg";"https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/4/4/441524f7a599c58e14fb34a8e536e5343868e9929474a38233e43b911ce46329.jpg";"https://store.nintendo.co.kr/70010000060322";1
11;"휴먼: 폴 플랫 (Human: Fall Flat)";"₩ 16,000";"₩ 6,400";"-60%";"휴먼 폴 플랫은 부유하는 초현실적 세계에 가볍게 즐길 수 있는 플랫폼 게임으로 혼자서 또는 온라인으로 최대 8명이서 플레이 가능합니다
신규 레벨 공장 골프 도시 숲 지금 플레이 가능위대한 자연이 우리를 부릅니다 새로운 레벨인 숲에서 친구들과 함께 휴식과 여유를 찾아 우거진 숲과 눈 쌓인 언덕 위를 탐험해 보세요 사고가 난 비행기와 중장비는 물론 미스터리와 대혼란이 임박했습니다 누군가가 길을 잘못 들었던 걸까요이 세계적인 워크숍 경쟁 게임에서는 일반적인 캠핑 여행 그 이상을 경험할 수 있습니다 기어올라야 하는 사고가 난 비행기 조종해야 하는 중장비 해결해야 하는 추운 날씨의 수수께끼 등이 있습니다 누군가가 길을 잘못 들었던 걸까요휴먼 폴 플랫에서 여러분은 말랑말랑한 반죽 모양 휴먼이 되어 퍼즐로 가득 찬 초현실적인 공간을 탈출하는 꿈을 꾸게 됩니다 탐험하고 창의력을 발산하세요 이 곳에선 모든 것이 가능합니다 온라인 멀티플레이어  공개방에서 새로운 사람들을 만나거나 친구들과 비공개방에서 놀아보세요 사람이 많으면 많을수록 더 재밌답니다 비틀비틀 파르쿠르  일직선 비스무리하게 걷거나 밀고 당기고 들고 기어오르고 부수고 모든 물체들과 상호작용이 가능합니다 로컬 카우치 코옵 모드  친구와 함께라면 무엇이든 할 수 있죠 커스터마이징  공주 강아지 여름철 관광객 우주비행사 닌자 등 무엇이든 가능합니다 초현실적인 배경  다양한 오픈 월드를 탐험해보세요";"https://store.nintendo.co.kr/media/catalog/product/cache/559013652f8c31ac036888adc145c37f/h/e/hero_1.jpg";"https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/h/e/hero_1.jpg";"https://store.nintendo.co.kr/70010000028499";1
12;"다키스트 던전";"₩ 27,000";"₩ 5,400";"-80%";"다키스트 던전은 모험의 심리적 스트레스에 중점을 둔 매력적인 고딕풍의 턴제 기반 RPG입니다
다키스트 던전은 모험의 심리적 스트레스에 중점을 둔 매력적인 고딕풍의 턴제 기반 RPG입니다
뒤틀린 숲 잊힌 워런스 지하 폐허 이상을 넘어 미완성된 영웅의 팀을 고용 훈련 그리고 리드하세요 상상할 수 없는 공포 스트레스 기근 질병 그리고 끊임없이 침식하는 암흑에 맞서 싸우게 됩니다 신비한 미스터리를 발견하고 획기적인 전략의 턴제 전투 시스템에서 영웅을 다수의 무서운 몬스터와 싸우게 하세요
 고뇌 시스템  몬스터 말고 스트레스와도 싸우세요 불안감 피학증 공포 불합리함 그리고 게임플레이와 연관된 버릇과 투쟁하세요 손으로 그린 놀라운 고딕풍의 까마귀 깃펜 아트 스타일 획기적인 턴제 전투를 이용하여 사악한 몬스터 무리와 싸우세요 내레이션 시스템은 여러분의 성공을 축하할 것입니다 실패도 빼놓지 않고 말이죠 16개의 플레이 가능 영웅 클래스추가 중에는 역병 의사 망나니와 버림받은 자도 포함합니다 캠프로 상처를 치료하거나 감동적인 연설을 하세요 마을에서는 전쟁에 지친 여러분의 캐릭터를 선술집에서 쉬게 하거나 수도원에서 스트레스를 억제하세요 영구 사망 캐릭터 순차식 던전 및 놀라운 리플레이 기능을 포함한 고전적인 CRPG와 로그라이크
가문 대대로 물려받은 저택에서 피어오르는 섬뜩한 공포를 막을 수 있을까요
알림
닌텐도 e숍에서 세트 상품과 DLC를 판매 중입니다 중복 구매에 주의해 주십시오";"https://store.nintendo.co.kr/media/catalog/product/cache/559013652f8c31ac036888adc145c37f/2/5/25307597fd44b14884693613ae78286172f70f48732d8df991eaa0292791b107.jpg";"https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/2/5/25307597fd44b14884693613ae78286172f70f48732d8df991eaa0292791b107.jpg";"https://store.nintendo.co.kr/70010000040591";1
13;"루트 필름";"₩ 69,800";"₩ 13,960";"-80%";"Root Film 체험판다운로드 번호 D3GM 3304 4V3B Y0YB
두 주인공의 시점에서 그려지는 미스터리 어드벤처
KADOKAWA GAMES의 미스터리 어드벤처 최신작 Root Film루트 필름은 야구모는 10년 전 촬영이 중단된 원인인 어떤 저주받은 필름의 수수께끼를 쫓는 시점부터 리호는 친구 아버지의 죽음에 대한 진상을 추궁하는 시점부터 이야기가 시작됩니다
아름다운 자연과 낭만이 넘치는 역사로 가득한 시마네현을 돌아다니며만나는 사람들과의 대화를 통해 사건 해결의 실마리가 되는 키워드를 획득하는 공감각수집한 여러 키워드로 범인과 논전을 펼치는 맥스 모드가 발생하는 해결편에서 사건의 진상을 파헤칩니다과연 살인 사건의 범인은 그리고 사건 해결로 밝혀지는 진실이란디렉터 Kono Hifumi가 그리는 정통 미스터리 어드벤처를 꼭 즐겨 보십시오주의 사항본 체험판에서는 야구모 편 1화만 플레이할 수 있습니다체험판의 저장 데이터는 제품판본편 게임에 인계할 수 없습니다";"https://store.nintendo.co.kr/media/catalog/product/cache/559013652f8c31ac036888adc145c37f/e/1/e143897ee844257cdff3100be014466f5c36c6705ea9a2c922bf0c497f5af7ab.jpg";"https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/e/1/e143897ee844257cdff3100be014466f5c36c6705ea9a2c922bf0c497f5af7ab.jpg";"https://store.nintendo.co.kr/70010000031179";1
14;"Gang Beasts";"₩ 25,000";"₩ 10,000";"-60%";"Gang Beasts는 정신없이 돌아가는 멀티플레이어 파티 게임입니다 온갖 위험스러운 일이 일어나고 있는 Beef City를 무대로 삼아 까칠하고 탱글탱글한 캐릭터들과 함께 슬랩스틱 난투극을 펼쳐 보세요캐릭터를 커스터마이징하고 난투 모드에서 로컬 및 온라인 적들을 상대하세요 갱 게임 모드로 친구와 함께 Beef City의 갱들을 해치울 수도 있습니다Gang Beasts는 각종 창의적인 멀티플레이 파티 게임을 제작하고 있는 소규모 인디 게임 스튜디오인 Boneloaf에서 제작하였습니다
알림
이 소프트웨어에는 인터넷에 접속할 수 있는 환경과 Nintendo Switch Online 가입유료이 필요한 모드나 기능이 있습니다";"https://store.nintendo.co.kr/media/catalog/product/cache/559013652f8c31ac036888adc145c37f/0/4/04e13ca17a27aad6c8fe171aca4bcd9731cf04121542958fa4d09d2b49c4c154.jpg";"https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/0/4/04e13ca17a27aad6c8fe171aca4bcd9731cf04121542958fa4d09d2b49c4c154.jpg";"https://store.nintendo.co.kr/70010000033939";1
