"DATE";"TITLE";"PLATFORM";"PRICE";"ETC";"VARIA"
"2024-02-01";"그랑블루 판타지: 리링크 한글판 (PS4, 디럭스에디션/패키지디스크)";"PS4";"일시품절";"";1
"2024-02-01";"그랑블루 판타지: 리링크 한글판 (PS4, 패키지디스크)";"PS4";"62,680";"";1
"2024-02-01";"그랑블루 판타지: 리링크 한글판 (PS5, 디럭스에디션/패키지디스크)";"PS5";"98,270";"";1
"2024-02-01";"그랑블루 판타지: 리링크 한글판 (PS5, 컬렉터즈에디션/패키지디스크)";"PS5";"209,790";"";1
"2024-02-01";"그랑블루 판타지: 리링크 한글판 (PS5, 패키지디스크)";"PS5";"62,410";"";1
"2023-11-03";"끝내주게 춤춰라 메이드 인 와리오 한글판 (SWITCH, 다운로드코드)";"SWITCH";"54,800";"";1
"2023-11-03";"끝내주게 춤춰라 메이드 인 와리오 한글판 (SWITCH, 패키지칩)";"SWITCH";"45,770";"";1
"2023-11-16";"나루토 X 보루토 나루티밋 스톰 커넥션즈 한글판 (PS4, 콜렉터즈에디션/패키지디스크)";"PS4";"257,000";"";1
"2023-11-16";"나루토 X 보루토 나루티밋 스톰 커넥션즈 한글판 (PS4, 패키지디스크)";"PS4";"62,740";"";1
"2023-11-16";"나루토 X 보루토 나루티밋 스톰 커넥션즈 한글판 (PS5, 콜렉터즈에디션/패키지디스크)";"PS5";"256,990";"";1
"2023-11-16";"나루토 X 보루토 나루티밋 스톰 커넥션즈 한글판 (PS5, 패키지디스크)";"PS5";"62,740";"";1
"2023-11-16";"나루토 X 보루토 나루티밋 스톰 커넥션즈 한글판 (SWITCH, 콜렉터즈에디션/패키지칩)";"SWITCH";"231,300";"";1
"2023-11-16";"나루토 X 보루토 나루티밋 스톰 커넥션즈 한글판 (SWITCH, 패키지칩)";"SWITCH";"62,740";"";1
"2023-11-02";"당신을 기다리는 여우 花 한글판 (SWITCH, 패키지칩)";"SWITCH";"47,590";"";1
"2023-11-16";"더 킹 오브 파이터즈 13 글로벌 매치 한글판 (PS4, 패키지디스크)";"PS4";"44,810";"";1
"2023-11-16";"더 킹 오브 파이터즈 13 글로벌 매치 한글판 (SWITCH, 패키지칩)";"SWITCH";"44,810";"";1
"2023-11-09";"더블 드래곤 컬렉션 한글판 (SWITCH, 패키지칩)";"SWITCH";"34,800";"";1
"2023-11-09";"던전스 4 한글판 (PS5, 디럭스에디션/패키지디스크)";"PS5";"61,200";"";1
"2023-11-21";"돌연변이 닌자 거북이: 슈레더의 복수 애니버서리 에디션 한글판 (PS5, 패키지디스크)";"PS5";"일시품절";"";1
"2023-11-21";"돌연변이 닌자 거북이: 슈레더의 복수 애니버서리 에디션 한글판 (SWITCH, 패키지칩)";"SWITCH";"39,800";"";1
"2023-11-02";"로보캅: 로그 시티 한글판 (PS5, 패키지디스크)";"PS5";"66,360";"";1
"2023-12-01";"배트맨: 아캄 트릴로지 한글판 (SWITCH, 패키지칩)";"SWITCH";"64,810";"";1
"";"붉은 사막 PS5 (한글판)";"PS5";"출시예정";"2023 출시 예정";1
"2023-11-17";"블루이: 비디오 게임 한글판 (PS5, 패키지디스크)";"PS5";"48,530";"";1
"2023-11-17";"블루이: 비디오 게임 한글판 (SWITCH, 패키지칩)";"SWITCH";"48,530";"";1
"2023-11-09";"산나비 한글판 (SWITCH, 패키지칩)";"SWITCH";"37,740";"";1
"";"삼국지 8 리메이크 한글판 (PC)";"PC";"출시예정";"2024-03 출시 예정";1
"";"삼국지 8 리메이크 한글판 (PS4)";"PS4";"출시예정";"2024-03 출시 예정";1
"";"삼국지 8 리메이크 한글판 (PS5)";"PS5";"출시예정";"2024-03 출시 예정";1
"";"삼국지 8 리메이크 한글판 (SWITCH)";"SWITCH";"출시예정";"2024-03 출시 예정";1
"2023-11-17";"슈퍼 마리오 RPG 한글판 (SWITCH, 패키지칩)";"SWITCH";"62,910";"";1
"2023-11-10";"슈퍼 마리오 파티 조이콘 세트 한글판 (SWITCH, 패키지칩/파스텔퍼플 그린)";"SWITCH";"102,710";"";1
"";"스컬 앤 본즈 PS5 (한글판)";"PS5";"출시예정";"2023 출시 예정";1
"2023-11-09";"스타 멜로디 유메미 드리머 한글판 (SWITCH, 패키지칩)";"SWITCH";"일시품절";"";1
"2023-11-02";"스타오션 더 세컨드 스토리 R 한글판 (PS5, 패키지디스크)";"PS5";"일시품절";"";1
"2023-11-02";"스타오션 더 세컨드 스토리 R 한글판 (SWITCH, 패키지칩)";"SWITCH";"55,610";"";1
"2023-12-07";"아바타: 프론티어 오브 판도라 한글판 (PC)";"PC";"출시예정";"";1
"2023-12-07";"아바타: 프론티어 오브 판도라 한글판 (PS5)";"PS5";"출시예정";"";1
"2023-11-23";"언더 더 웨이브즈 한글판 (PS5, 패키지디스크)";"PS5";"47,510";"";1
"2023-11-09";"용과 같이 7 + 용과 같이 7 외전 번들 (PS5, 패키지디스크)";"PS5";"62,960";"";1
"2023-11-09";"용과 같이 7 외전: 이름을 지운 자 한글판 (PS4, 패키지디스크)";"PS4";"44,390";"";1
"2023-11-09";"용과 같이 7 외전: 이름을 지운 자 한글판 (PS5, 패키지디스크)";"PS5";"42,160";"";1
"2023-11-09";"용과 같이 7 외전: 이름을 지운 자 한글판 (PS5, 한정판/패키지디스크)";"PS5";"일시품절";"";1
"";"창세기전: 회색의 잔영 SWITCH (한글판)";"SWITCH";"출시예정";"2023 출시 예정";1
"2024-01-26";"철권 8 한글판 (PC)";"PC";"출시예정";"";1
"2024-01-26";"철권 8 한글판 (PS5)";"PS5";"출시예정";"";1
"2023-11-10";"콜 오브 듀티: 모던 워페어 3 2023 한글판 (PS5)";"PS5";"가격비교예정";"";1
"";"파이널 판타지 7 리메이크 - 리버스 한글판 (PS5, 패키지디스크)";"PS5";"출시예정";"2024-02 출시 예정";1
"2023-11-02";"패션 드리머 한글판 (SWITCH, 패키지칩)";"SWITCH";"46,570";"";1
"2024-02-02";"페르소나 3 리로드 한글판 (PS4, 패키지디스크)";"PS4";"71,420";"";1
"2024-02-02";"페르소나 3 리로드 한글판 (PS5, 아이기스에디션/패키지디스크)";"PS5";"224,790";"";1
"2024-02-02";"페르소나 3 리로드 한글판 (PS5, 패키지디스크)";"PS5";"71,420";"";1
"2023-11-17";"페르소나 5 텍티카 한글판 (PS4, 패키지디스크)";"PS4";"59,330";"";1
"2023-11-17";"페르소나 5 텍티카 한글판 (PS5, 패키지디스크)";"PS5";"59,330";"";1
"2023-11-17";"페르소나 5 텍티카 한글판 (SWITCH, 패키지칩)";"SWITCH";"59,330";"";1
"2024-01-18";"페르시아의 왕자: 잃어버린 왕관 한글판 (PS5)";"PS5";"출시예정";"";1
"2023-11-03";"포켓몬스터 바이올렛 + 제로의 비보 한글판 (SWITCH, 패키지칩)";"SWITCH";"82,910";"";1
"2023-11-03";"포켓몬스터 스칼렛 + 제로의 비보 한글판 (SWITCH, 패키지칩)";"SWITCH";"82,910";"";1
"2023-11-07";"풋볼 매니저 2024 한글판 (PC, 스팀코드)";"PC";"52,200";"";1
"2023-12-07";"풋볼 매니저 2024 한글판 (PS5, 패키지디스크)";"PS5";"53,040";"";1
"2023-12-14";"풋볼 매니저 2024 한글판 (SWITCH, 패키지칩)";"SWITCH";"41,130";"";1
"2024-02-08";"헬다이버스 2 한글판 (PS5, 패키지디스크)";"PS5";"41,660";"";1
"2023-11-14";"호그와트 레거시 한글판 (SWITCH, 패키지칩)";"SWITCH";"64,550";"";1
"2023-11-30";"환세취호전 플러스 한글판 (SWITCH, 패키지칩)";"SWITCH";"39,800";"";1
"2023-11-30";"환세취호전 플러스 한글판 (SWITCH, 한정판/패키지칩)";"SWITCH";"일시품절";"";1
"2023-11-16";"환일의 요하네: 블레이즈 인 더 딥블루 한글판 (PS5, 패키지디스크)";"PS5";"63,790";"";1
"2023-11-16";"환일의 요하네: 블레이즈 인 더 딥블루 한글판 (SWITCH, 패키지칩)";"SWITCH";"57,420";"";1
