"NUM";"TITLE";"PRICE";"SALEPRICE";"SALEPER";"DESCRIPTION";"IMGDATA";"GAMEIMG";"URL";"VARIA"
1;"Godzilla Voxel Wars";"₩15,300";"₩13,770";"-10%";"Get ready to battle using your brain A fullfledged turnbased strategy game with a difficulty level GODZILLA";"https://cdn1.epicgames.com/spt-assets/8d0c5b1ea9254d57afd4460c6c5de7de/godzilla-voxel-wars-logo-1eivb.png?h=270&quality=medium&resize=1&w=480";"https://cdn1.epicgames.com/spt-assets/8d0c5b1ea9254d57afd4460c6c5de7de/godzilla-voxel-wars-axri9.png";"https://store.epicgames.com/ko/p/godzillawars-2c30e4";1
2;"Roboquest";"₩25,600";"₩20,480";"-20%";"로보퀘스트는 멸망한 미래 세계의 빠른 FPS 로그라이트입니다 당신은 재부팅된 수호자로 강철 궁둥짝을 걷어 찰 준비를 하세요
혼자서 혹은 친구와 함께 맞서거나 끊임없이 변화하는 환경에서 치명적인 로봇 군단을 섬멸하세요";"https://cdn1.epicgames.com/spt-assets/57efac686e694e809af4210acf71fea4/roboquest-logo-3j8c5.png?h=270&quality=medium&resize=1&w=480";"https://cdn1.epicgames.com/spt-assets/57efac686e694e809af4210acf71fea4/roboquest-video-1wzoi.jpg?h=270&quality=medium&resize=1&w=480";"https://store.epicgames.com/ko/p/roboquest-9ad17a";1
3;"Lucky Goal";"₩5,100";"₩3,060";"-40%";"Lucky Goal offers an experience of a soccer game through a thirdperson view Create or participate in an online match and show who is a better soccer player A singleplayer adventure is waiting for you to improve your gaming skills";"https://cdn1.epicgames.com/spt-assets/6666791b9d354f288ae95f6c243d45ff/lucky-goal-logo-1j7md.png?h=270&quality=medium&resize=1&w=480";"";"https://store.epicgames.com/ko/p/luckygoal-201ee6";1
4;"Immortals of Aveum™";"₩66,000";"₩39,600";"-40%";"힘을 소환하고 영원전쟁을 막고 세상을 구하세요";"https://cdn2.unrealengine.com/egs-immortalsofaveum-ascendantstudios-ic1-400x400-af15a86aac40.png?h=270&quality=medium&resize=1&w=480";"https://cdn2.unrealengine.com/egs-immortalsofaveum-ascendantstudios-g1c-000-1920x1080-1189668deaba.jpg?h=270&quality=medium&resize=1&w=480";"https://store.epicgames.com/ko/p/immortals-of-aveum";1
5;"Madden NFL 24";"₩77,000";"₩50,050";"-35%";"Madden NFL 24에서 최신 버전의 FieldSENSE를 경험하세요 더욱 현실적인 캐릭터 움직임과 똑똑해진 AI를 통해 어떤 상대든 이길 수 있다는 자신감을 가지고 게임 플레이 전략을 실행할 수 있습니다";"https://cdn2.unrealengine.com/egs-maddennfl24-tiburon-ic1-400x400-4c02cc8396ef.png?h=270&quality=medium&resize=1&w=480";"https://cdn2.unrealengine.com/egs-maddennfl24-tiburon-g1c-00a-1920x1080-77595d7ce76a.jpg?h=270&quality=medium&resize=1&w=480";"https://store.epicgames.com/ko/p/madden-nfl-24";1
6;"Prince of Persia: Sands of Time";"₩11,400";"₩2,280";"-80%";"고대 페르시아의 뜨거운 사막 한 가운데에 오래된 이야기 속에서 전해져 오는 하나의 전설이 있다 그것은 피에 의해 태어나 거짓으로 지배되는 시간으로 이야기된다 한 마법 단검이 가진 어둠의 힘에 끌리어 어느 젊은 왕자가 아름다운 왕국에서 죽음의 악마가 가진 속박을 풀기에 이르게 된다 매력적인 공주의 속임수와 시간의 모래가 가진 절대적인 힘의 도움으로 왕자는 궁전의 저주받은 방들을 되돌리고 그의 나라에 평화를 되찾는 모험을 전개한다";"https://cdn2.unrealengine.com/pers-ucs24614-logo-400x400-400x400-f6e8941b68ae.png?h=270&quality=medium&resize=1&w=480";"https://cdn2.unrealengine.com/pc-princeofpersia-1-800x533-fe4a2d61e676.jpg";"https://store.epicgames.com/ko/p/prince-of-persia-sands-of-time";1
7;"Everlasting Guilt";"₩10,200";"₩5,100";"-50%";"if youre into Doom Furi  Titan Souls this game will fulfill your needs with its FPS fastpaced gameplay that heavily focuses on Boss fights each with a unique approach that has its own mechanics and a load of enemies to unleash your anger and test your arsenal upon";"https://cdn1.epicgames.com/spt-assets/46e0b74270c740c09c5ab30f8f642ab6/everlasting-guilt-logo-1ski4.png?h=270&quality=medium&resize=1&w=480";"https://cdn1.epicgames.com/spt-assets/46e0b74270c740c09c5ab30f8f642ab6/everlasting-guilt-video-1aaic.png?h=270&quality=medium&resize=1&w=480";"https://store.epicgames.com/ko/p/everlasting-guilt-213534";1
8;"Prince of Persia: Warrior Within Standard Edition";"₩11,400";"₩2,280";"-80%";"비평가들의 극찬을 받은 Prince of Persia The Sands of Time의 후속작인 Prince of Persia Warrior Within에서 지하세계에서 벌어지는 제대로 된 칼싸움을 즐겨보세요";"https://cdn2.unrealengine.com/pop2-logo-400x400-400x400-dd93e32e0844.png?h=270&quality=medium&resize=1&w=480";"https://cdn2.unrealengine.com/0000003812-1152x850-f0734b528dcb.jpg";"https://store.epicgames.com/ko/p/prince-of-persia-warrior-within";1
9;"F1® 23";"₩77,000";"₩38,500";"-50%";"2023 FIA Formula One World Championship의 공식 비디오 게임인 EA SPORTS F1 23에서 가장 마지막에 브레이크를 밟으세요";"https://cdn2.unrealengine.com/egs-f123standardedition-codemasters-ic1-400x400-dede9d82d953.png?h=270&quality=medium&resize=1&w=480";"https://cdn2.unrealengine.com/egs-f123-codemasters-g1c-00-1920x1080-b754096b526a.jpg?h=270&quality=medium&resize=1&w=480";"https://store.epicgames.com/ko/p/f1-23";1
10;"Age of Wonders 4";"₩52,000";"₩36,400";"-30%";"나만의 판타지 세계를 지배하라 4X 전략과 턴제 전술 전투를 합친 Age of Wonders의 시스템과 함께 새로운 마법 세계를 탐험하세요 턴을 진행하는 동안 제국을 확장하며 자신의 세력을 양성하고 변모시켜야 합니다";"https://cdn2.unrealengine.com/egs-ageofwonders4-triumphstudios-ic1-400x400-8d499fa476ad.png?h=270&quality=medium&resize=1&w=480";"https://cdn2.unrealengine.com/egs-ageofwonders4premiumedition-triumphstudios-editions-g1c-00-1920x1080-d47add033bca.jpg?h=270&quality=medium&resize=1&w=480";"https://store.epicgames.com/ko/p/age-of-wonders-4";1
