"NUM";"TITLE";"GENRE"
50;"스타워즈 제다이: 서바이버™";"어드벤처"
51;"스타워즈 제다이: 서바이버™";"싱글 플레이어"
52;"스타워즈 제다이: 서바이버™";"업적"
53;"EA SPORTS™ PGA TOUR™";"RPG"
54;"EA SPORTS™ PGA TOUR™";"멀티플레이어"
366;"Assassin’s Creed® Chronicles: 러시아";"액션"
367;"Assassin’s Creed® Chronicles: 러시아";"어드벤처"
368;"Assassin’s Creed® Chronicles: 러시아";"잠입"
369;"Assassin’s Creed® Chronicles: 러시아";"싱글 플레이어"
370;"Locks Quest";"전략"
371;"Locks Quest";"싱글 플레이어"
372;"Lawn Mowing Simulator";"시뮬레이션"
373;"Lawn Mowing Simulator";"싱글 플레이어"
374;"Mass Effect™ Legendary Edition";"RPG"
375;"Mass Effect™ Legendary Edition";"슈팅"
376;"Mass Effect™ Legendary Edition";"우주"
377;"Mass Effect™ Legendary Edition";"싱글 플레이어"
378;"Mass Effect™ Legendary Edition";"업적"
379;"It Takes Two";"어드벤처"
380;"It Takes Two";"플랫포머"
381;"It Takes Two";"업적"
382;"It Takes Two";"컨트롤러 지원"
383;"It Takes Two";"협동"
384;"Battlefield V 디피니티브 에디션";"슈팅"
385;"Battlefield V 디피니티브 에디션";"액션"
386;"Battlefield V 디피니티브 에디션";"멀티플레이어"
387;"Battlefield V 디피니티브 에디션";"싱글 플레이어"
388;"Battlefield V 디피니티브 에디션";"업적"
389;"Battlefield V 디피니티브 에디션";"컨트롤러 지원"
390;"Battlefield V 디피니티브 에디션";"협동"
391;"The Suicide of Rachel Foster";"내레이션"
392;"The Suicide of Rachel Foster";"탐험"
393;"The Suicide of Rachel Foster";"호러"
394;"The Suicide of Rachel Foster";"싱글 플레이어"
395;"Iratus: Lord of the Dead";"RPG"
396;"Iratus: Lord of the Dead";"전략"
397;"Iratus: Lord of the Dead";"턴제"
398;"Iratus: Lord of the Dead";"싱글 플레이어"
399;"Warpips";"로그라이트"
400;"Warpips";"전략"
401;"Warpips";"싱글 플레이어"
402;"Warpips";"컨트롤러 지원"
403;"Zombie Rollerz: Pinball Heroes";"로그라이트"
404;"Zombie Rollerz: Pinball Heroes";"액션"
405;"Zombie Rollerz: Pinball Heroes";"캐주얼"
406;"Zombie Rollerz: Pinball Heroes";"싱글 플레이어"
407;"Zombie Rollerz: Pinball Heroes";"컨트롤러 지원"
408;"Sifu";"액션"
409;"Sifu";"인디"
410;"Sifu";"전투"
411;"Sifu";"싱글 플레이어"
412;"Sifu";"업적"
413;"Sifu";"컨트롤러 지원"
414;"Sifu";"클라우드 저장"
415;"Tom Clancy's Rainbow Six Extraction";"슈팅"
416;"Tom Clancy's Rainbow Six Extraction";"전략"
417;"Tom Clancy's Rainbow Six Extraction";"멀티플레이어"
418;"Tom Clancy's Rainbow Six Extraction";"싱글 플레이어"
419;"Tom Clancy's Rainbow Six Extraction";"협동"
420;"Iron Danger";"액션 어드벤처"
421;"Iron Danger";"인디"
422;"Iron Danger";"전략"
423;"Iron Danger";"싱글 플레이어"
424;"Partisans 1941";"액션"
425;"Partisans 1941";"잠입"
426;"Partisans 1941";"전략"
427;"Partisans 1941";"싱글 플레이어"
428;"Partisans 1941";"업적"
429;"Shadow of the Tomb Raider: Definitive Edition";"액션"
430;"Shadow of the Tomb Raider: Definitive Edition";"어드벤처"
431;"Shadow of the Tomb Raider: Definitive Edition";"싱글 플레이어"
432;"Shadow of the Tomb Raider: Definitive Edition";"컨트롤러 지원"
433;"MONOPOLY Madness";"캐주얼"
434;"MONOPOLY Madness";"파티"
435;"MONOPOLY Madness";"멀티플레이어"
436;"MONOPOLY Madness";"싱글 플레이어"
437;"Solar Ash Kingdom";"액션"
438;"Solar Ash Kingdom";"어드벤처"
439;"Solar Ash Kingdom";"인디"
440;"Solar Ash Kingdom";"싱글 플레이어"
441;"Solar Ash Kingdom";"클라우드 저장"
442;"Battlefield™ 2042";"1인칭"
443;"Battlefield™ 2042";"슈팅"
444;"Battlefield™ 2042";"멀티플레이어"
445;"Battlefield™ 2042";"업적"
446;"Trüberbrook";"어드벤처"
447;"Trüberbrook";"인디"
448;"Trüberbrook";"싱글 플레이어"
449;"Riders Republic";"액션"
450;"Riders Republic";"오픈 월드"
451;"Riders Republic";"경쟁"
452;"Riders Republic";"멀티플레이어"
453;"Riders Republic";"싱글 플레이어"
454;"마블의 가디언즈 오브 갤럭시";"액션"
455;"마블의 가디언즈 오브 갤럭시";"액션 어드벤처"
456;"마블의 가디언즈 오브 갤럭시";"어드벤처"
457;"마블의 가디언즈 오브 갤럭시";"싱글 플레이어"
458;"마블의 가디언즈 오브 갤럭시";"컨트롤러 지원"
459;"마블의 가디언즈 오브 갤럭시";"클라우드 저장"
460;"Disciples: Liberation";"RPG"
461;"Disciples: Liberation";"전략"
462;"Disciples: Liberation";"멀티플레이어"
463;"Disciples: Liberation";"싱글 플레이어"
464;"JARS";"인디"
465;"JARS";"전략"
466;"JARS";"싱글 플레이어"
467;"JARS";"컨트롤러 지원"
468;"War Mongrels";"잠입"
469;"War Mongrels";"전략"
470;"War Mongrels";"싱글 플레이어"
471;"War Mongrels";"업적"
472;"War Mongrels";"컨트롤러 지원"
473;"War Mongrels";"클라우드 저장"
474;"War Mongrels";"협동"
475;"Discovery Tour: Viking Age";"오픈 월드"
476;"Discovery Tour: Viking Age";"탐험"
477;"Discovery Tour: Viking Age";"싱글 플레이어"
478;"HOT WHEELS UNLEASHED™";"레이싱"
479;"HOT WHEELS UNLEASHED™";"경쟁"
480;"HOT WHEELS UNLEASHED™";"멀티플레이어"
481;"HOT WHEELS UNLEASHED™";"싱글 플레이어"
482;"Flat Heroes";"액션"
483;"Flat Heroes";"플랫포머"
484;"Flat Heroes";"경쟁"
485;"Flat Heroes";"멀티플레이어"
486;"Flat Heroes";"싱글 플레이어"
487;"Flat Heroes";"컨트롤러 지원"
488;"Flat Heroes";"협동"
489;"Deepest Chamber";"RPG"
490;"Deepest Chamber";"전략"
491;"Deepest Chamber";"카드 게임"
492;"Deepest Chamber";"싱글 플레이어"
493;"Just Die Already";"어드벤처"
494;"Just Die Already";"오픈 월드"
495;"Just Die Already";"코미디"
496;"Just Die Already";"멀티플레이어"
497;"Just Die Already";"싱글 플레이어"
498;"Just Die Already";"협동"
499;"Aerial_Knight's Never Yield";"액션"
500;"Aerial_Knight's Never Yield";"인디"
501;"Aerial_Knight's Never Yield";"컨트롤러 지원"
502;"Aerial_Knight's Never Yield";"클라우드 저장"
503;"MotoGP™21";"레이싱"
504;"MotoGP™21";"시뮬레이션"
505;"MotoGP™21";"멀티플레이어"
