TITLE,PRICE,SALEPRICE,SALEPER,DESCRIPTION,IMGDATA,GAMEIMG,URL
"The Crew™ Motorfest Standard Edition - 크로스젠 번들 (중국어(간체자), 한국어, 영어, 일본어, 중국어(번체자))","79,000원","63,200원",-20%,10월10일부터 10월 20일까지 The Crew Motorfest를 무료로 플레이하세요10월10일부터 10월 20일까지 모터페스트 티켓을 받고 5시간 동안 정식 게임을 무료로 즐겨 보세요 무료 체험 기간 동안의 진행 내역 및 잠금 해제 내역은 저장되며 정식 게임을 구매하면 이어서 플레이할 수 있습니다해당 제품은 디지털 PS4 버전 및 디지털 PS5 버전으로 다운로드할 수 있습니다  모터페스트에 오신 걸 환영합니다 365일 내내 열리는 축제에서 세계 최,https://image.api.playstation.com/vulcan/ap/rnd/202306/0710/8ad6967a749c971c1910b94d76dc33cbb0a4c5da84ec5e6d.png?w=440,https://image.api.playstation.com/vulcan/ap/rnd/202305/2315/b6034169263e4dc8b34ab11690dbd4d72e11501f4066ab8f.jpg?w=1920,https://store.playstation.com//ko-kr/product/JP0001-PPSA02840_00-THECREWORL000000
"The Crew™ Motorfest Standard Edition (중국어(간체자), 한국어, 영어, 일본어, 중국어(번체자))","69,000원","55,200원",-20%,해당 제품은 PS4 디지털 버전으로 다운로드할 수 있습니다 PS5 디지털 버전 플레이를 희망하는 경우 나중에 업그레이드 팩으로 제품을 업데이트할 수 있습니다 크로스젠 번들 또는 Gold 및 Ultimate Edition에서도 PS5 디지털 버전을 이용할 수 있습니다  10월10일부터 10월 20일까지 The Crew Motorfest를 무료로 플레이하세요10월10일부터 10월 20일까지 모터페스트 티켓을 받고 5시간 동안 정식 게임을 무료로 즐겨 보세요,https://image.api.playstation.com/vulcan/ap/rnd/202305/2315/607d9ed1ac762c9de33ef73fd09b3431d0b96ef4985ac2fb.png?w=440,https://image.api.playstation.com/vulcan/ap/rnd/202305/2315/b6034169263e4dc8b34ab11690dbd4d72e11501f4066ab8f.jpg?w=1920,https://store.playstation.com//ko-kr/product/JP0001-CUSA26573_00-THECREWORL000000
"The Crew™ Motorfest Gold Edition (중국어(간체자), 한국어, 영어, 일본어, 중국어(번체자))","112,000원","95,200원",-15%,해당 제품은 디지털 PS4 버전 및 디지털 PS5 버전으로 다운로드할 수 있습니다  Gold Edition에는 Year 1 Pass 출시 당일 사용 가능한 차량 3대 매월 잠금 해제되는 추가 차량 2대가 포함되어 있습니다 모터페스트에 오신 걸 환영합니다 365일 내내 열리는 축제에서 세계 최고의 자동차 문화를 경험하실 수 있습니다  역동적인 하와이의 오픈 월드를 즐기세요 지구상 가장 아름다운 절경을 지닌 하와이 제도의 오아후섬에서 The Crew Mot,https://image.api.playstation.com/vulcan/ap/rnd/202305/3016/2c82283597f0216bc4d0b7e2e542dea91d6b76de095343cc.png?w=440,https://image.api.playstation.com/vulcan/ap/rnd/202305/3016/f9540b2f8ddc85d238529acc4984cd96ebd87546a5cf365a.jpg?w=1920,https://store.playstation.com//ko-kr/product/JP0001-PPSA02840_00-THECREWMGOLD0000
"The Crew™ Motorfest Ultimate Edition (중국어(간체자), 한국어, 영어, 일본어, 중국어(번체자))","135,000원","114,750원",-15%,해당 제품은 디지털 PS4 버전 및 디지털 PS5 버전으로 다운로드할 수 있습니다  Ultimate Edition 포함 사항  Year 1 Pass 출시 당일 사용 가능한 차량 3대 매월 잠금 해제되는 추가 차량 2대  Porsche 718 Spyder 2021 Fitted Edition 및 Honda Civic Type R 2021 Fitted Edition을 포함한 Fitted Ultimate 팩  모터페스트에 오신 걸 환영합니다 365일 내내 열리,https://image.api.playstation.com/vulcan/ap/rnd/202306/0501/7a837526c2b3a1ae6bda92707fb7d2fc7a3afb47de5e6f4a.png?w=440,https://image.api.playstation.com/vulcan/ap/rnd/202306/0501/0509bd26680996e7507dcec8cfdc8b59f192899d2c92adba.jpg?w=1920,https://store.playstation.com//ko-kr/product/JP0001-PPSA02840_00-THECREWMULTI0000
"ELDEN RING PS4 & PS5 (중국어(간체자), 한국어, 태국어, 중국어(번체자))","64,800원","42,768원",-34%,본 제품을 소지한 고객님께서는 해당 게임의 디지털 PS4 버전과 디지털 PS5 버전 모두를 보유하실 수 있습니다게임 본편은 한국어번체 중국어간체 중국어태국어만 지원합니다이 상품은 일반판입니다 추가 콘텐츠가 포함된 세트 상품도 있으므로 중복 구매에는 주의하여 주십시오자극으로 가득한 드넓은 세계다채로운 시추에이션을 지닌 탁 트인 필드와 복잡하면서 입체적으로 짜인 거대한 던전이 경계선 없이 이어지는 드넓은 세계 탐색 끝에는 미지의 것들을 발견했다는 기쁨과 높,https://image.api.playstation.com/vulcan/ap/rnd/202108/0410/np2Eb60bDep9fDWtqNNSzqZI.png?w=440,https://image.api.playstation.com/vulcan/ap/rnd/202108/0410/wUFMWIuEGCA6SEoWNBI7D1GP.jpg?w=1920,https://store.playstation.com//ko-kr/product/HP0700-PPSA04608_00-ELDENRING0000000
"ELDEN RING 디럭스 에디션 PS4 & PS5 (중국어(간체자), 한국어, 태국어, 중국어(번체자))","86,800원","57,288원",-34%,본 제품을 소지한 고객님께서는 해당 게임의 디지털 PS4 버전과 디지털 PS5 버전 모두를 보유하실 수 있습니다게임 본편은 한국어번체 중국어간체 중국어태국어만 지원합니다이 상품은 ELDEN RING게임 본편과 디지털 아트북사운드 트랙이 포함된 세트 상품입니다 게임 본편인 ELDEN RING은 단품으로도 판매하고 있습니다 중복 구매에는 주의하여 주십시오세트 내용ELDEN RING게임 본편ELDEN RING 디지털 아트북사운드 트랙자극으로 가득한 드넓은 세,https://image.api.playstation.com/vulcan/ap/rnd/202202/2502/VvQCR4E4k3j4qnrzOdZYBej0.png?w=440,https://image.api.playstation.com/vulcan/ap/rnd/202202/2502/bbQWU0UZisIAqAxXtkstFwab.jpg?w=1920,https://store.playstation.com//ko-kr/product/HP0700-PPSA04608_00-ELDENRINGDLX0000
"호그와트 레거시 PS4 버전 (중국어(간체자), 한국어, 영어, 일본어, 중국어(번체자))","86,700원","60,690원",-30%,추가 던전 가게 주인의 코스메틱 세트 그리고 인게임 호그스미드 가게를 억세스할 수 있게 해주는 특별 귀신들린 호그스미드 가게 퀘스트가 포함되어 있습니다호그와트 레거시는 해리 포터 세계관에서 진행되는 오픈월드 액션 RPG입니다 마법 동물을 발견하고 자신의 캐릭터를 꾸미고 마법약을 조제하고 주문 시전을 통달하고 특성을 업그레이드하고 익숙한 장소들과 새로운 장소들을 넘나드는 모험을 즐기며 꿈에 그리던 마법사가 되어보세요 1800년대의 호그와트를 경험하세요 플,https://image.api.playstation.com/vulcan/ap/rnd/202208/0921/dR9KJAKDW2izPbptHQbh3rnj.png?w=440,https://image.api.playstation.com/vulcan/ap/rnd/202208/0921/3XopdGAJGRy3xNQKnQDvaCRs.png?w=1920,https://store.playstation.com//ko-kr/product/UP1018-CUSA12824_00-HOGWARTSLEGACY01
호그와트 레거시: 어둠의 마법 팩 (한국어판),"24,800원","17,360원",-30%,이 팩에 포함된 것세스트랄 탈것 어둠의 마법 코스메틱 세트어둠의 마법 배틀 아레나,https://image.api.playstation.com/vulcan/ap/rnd/202301/1300/rWbsg6FepgKiilEUoBc0fJBO.png?w=440,https://image.api.playstation.com/vulcan/ap/rnd/202301/1300/rWbsg6FepgKiilEUoBc0fJBO.png?w=780,https://store.playstation.com//ko-kr/product/UP1018-PPSA01593_00-STOR01ALLP00R0VP
"Grand Theft Auto V: 프리미엄 에디션 (한국어, 영어, 중국어(번체자))","33,400원","22,378원",-33%,Grand Theft Auto V 프리미엄 에디션을 구입하면 Grand Theft Auto V의 스토리 전체를 플레이할 수 있고 끝없이 진화하는 Grand Theft Auto 온라인에 무료로 접속하여 카요 페리코 습격 다이아몬드 카지노  리조트 다이아몬드 카지노 습격 무기 밀매 등 기존의 다양한 콘텐츠와 게임 플레이 업그레이드까지 모두 이용할 수 있습니다 여기엔 Grand Theft Auto 온라인에서 자신만의 범죄 기업을 세우는 가장 빠른 방법인 범죄,https://image.api.playstation.com/vulcan/ap/rnd/202101/2019/JdvqcPlTYMxXrA1QQJm6TbDX.png?w=440,https://image.api.playstation.com/vulcan/img/rnd/202102/0422/TkQfZ0v0NF1p8YHovQPIYtr5.png?w=1920,https://store.playstation.com//ko-kr/product/UP1004-CUSA00419_00-ASIA000000000014
"Grand Theft Auto V (PlayStation®5) (중국어(간체자), 한국어, 영어, 중국어(번체자))","48,000원","24,000원",-50%,Grand Theft Auto V 스토리 모드와 Grand Theft Auto 온라인이 포함됩니다 PS5에서 여정을 이어 나가십시오 1회 한정 전송으로 GTAV 스토리 모드 진행 상황과 GTA 온라인 캐릭터 및 진행 상황을 PS5로 전송할 수 있습니다지금 PS5로 엔터테인먼트 블록버스터인 Grand Theft Auto V와 GTA 온라인을 경험해 보십시오PS5 플레이어는 새로운 고성능 이동 수단 업그레이드와 경력 쌓기 기능과 같은 개선 사항을 이용할 수,https://image.api.playstation.com/vulcan/ap/rnd/202202/2811/x9SuHZAiRn0uJXB1IKteIgcw.png?w=440,https://image.api.playstation.com/vulcan/ap/rnd/202203/0302/bZ1JTRXzoyl3hkcsloKcCgdB.jpg?w=1920,https://store.playstation.com//ko-kr/product/UP1004-PPSA03420_00-GTAOANDSPUPGRADE
