"NUM";"TITLE";"genre"
1;"XCOM 2 (한국어판)";"전략"
2;"Rubber Bandits: Supporter Bundle (중국어(간체자), 한국어, 영어, 일본어, 중국어(번체자))";"격투"
3;"Unravel (영어판)";"어드벤처"
4;"Zombie Army 4: Dead War (중국어(간체자), 한국어, 영어, 일본어, 중국어(번체자))";"슈팅"
5;"Task Force Kampas (영어판)";"아케이드"
6;"Task Force Kampas (영어판)";"슈팅"
7;"Caveman Warriors (영어판)";"액션"
8;"어쌔신 크리드 크로니클 - 합본팩 (한국어판)";"롤플레잉 게임"
9;"Another World - 20th Anniversary Edition 제품판 (영어, 일본어)";"액션"
10;"3D MiniGolf (영어)";"가족"
11;"3D MiniGolf (영어)";"캐주얼"
12;"3D MiniGolf (영어)";"스포츠"
13;"Super Kids Racing - Snow Edition (중국어(간체자), 한국어, 영어, 일본어)";"가족"
14;"Super Kids Racing - Snow Edition (중국어(간체자), 한국어, 영어, 일본어)";"드라이빙/레이싱"
15;"ConnecTank (중국어(간체자), 영어, 일본어, 중국어(번체자))";"액션"
16;"ConnecTank (중국어(간체자), 영어, 일본어, 중국어(번체자))";"캐주얼"
17;"X-Force Genesis (영어)";"아케이드"
18;"X-Force Genesis (영어)";"캐주얼"
19;"X-Force Genesis (영어)";"슈팅"
20;"Mountain Racing (영어)";"가족"
21;"Mountain Racing (영어)";"드라이빙/레이싱"
22;"Ravva and the Cyclops Curse (중국어(간체자), 한국어, 영어, 일본어)";"액션"
23;"볼륨 (영어판)";"액션"
24;"볼륨 (영어판)";"어드벤처"
25;"볼륨 (영어판)";"어드벤처"
26;"볼륨VR (영어판)";"어드벤처"
27;"사마엘: 오피우쿠스의 유산 (한국어판)";"액션"
28;"사마엘: 오피우쿠스의 유산 (한국어판)";"캐주얼"
29;"사마엘: 오피우쿠스의 유산 (한국어판)";"어드벤처"
30;"오피우쿠스 궁극 (게임)";"액션"
31;"오피우쿠스 궁극 (게임)";"캐주얼"
32;"오피우쿠스 궁극 (게임)";"어드벤처"
33;"파이널소드 (중국어(간체자), 한국어, 영어, 일본어, 중국어(번체자))";"롤플레잉 게임"
34;"Syrup and the Ultimate Sweet (한국어판)";"어드벤처"
35;"Skabma - Snowfall (중국어(간체자), 영어, 일본어, 중국어(번체자))";"액션"
36;"Skabma - Snowfall (중국어(간체자), 영어, 일본어, 중국어(번체자))";"어드벤처"
37;"짐바오리: 오닌 전쟁 (영어)";"액션"
38;"짐바오리: 오닌 전쟁 (영어)";"캐주얼"
39;"짐바오리: 오닌 전쟁 (영어)";"어드벤처"
40;"Maggie the Magnet PS4 & PS5 (한국어, 영어, 일본어, 중국어(번체자))";"퍼즐"
41;"Maggie the Magnet PS4 & PS5 (한국어, 영어, 일본어, 중국어(번체자))";"캐주얼"
42;"Squad 51 vs. the Flying Saucers (중국어(간체자), 한국어, 영어, 일본어, 중국어(번체자))";"슈팅"
43;"El Gancho PS4 & PS5 (영어)";"액션"
44;"Hyper Shapes (영어)";"캐주얼"
45;"Wild Park Manager (중국어(간체자), 한국어, 영어, 일본어, 중국어(번체자))";"시뮬레이션"
46;"Wild Park Manager (중국어(간체자), 한국어, 영어, 일본어, 중국어(번체자))";"캐주얼"
47;"Wild Park Manager (중국어(간체자), 한국어, 영어, 일본어, 중국어(번체자))";"전략"
48;"Astalon: 지구의 눈물 (중국어(간체자), 한국어, 영어, 일본어, 중국어(번체자))";"어드벤처"
49;"Astalon: 지구의 눈물 (중국어(간체자), 한국어, 영어, 일본어, 중국어(번체자))";"액션"
50;"ARCADE GAME SERIES: DIG DUG (영어, 일본어)";"아케이드"
51;"DREAMERS (중국어(간체자), 영어, 일본어)";"액션"
52;"DREAMERS (중국어(간체자), 영어, 일본어)";"어드벤처"
53;"DREAMERS (중국어(간체자), 영어, 일본어)";"퍼즐"
54;"The Gravity Trickster (중국어(간체자), 한국어, 영어, 일본어)";"퍼즐"
55;"Horse Racing 2016 (영어)";"드라이빙/레이싱"
56;"Horse Racing 2016 (영어)";"스포츠"
57;"Racing Game Pack (중국어(간체자), 한국어, 영어, 일본어)";"가족"
58;"Racing Game Pack (중국어(간체자), 한국어, 영어, 일본어)";"드라이빙/레이싱"
59;"Racing Game Pack (중국어(간체자), 한국어, 영어, 일본어)";"스포츠"
60;"Null Drifter (영어)";"액션"
61;"Null Drifter (영어)";"아케이드"
62;"Null Drifter (영어)";"슈팅"
63;"Null Drifter (영어판)";"액션"
64;"Null Drifter (영어판)";"아케이드"
65;"Null Drifter (영어판)";"슈팅"
66;"Evergate (중국어(간체자), 한국어, 영어, 일본어, 중국어(번체자))";"퍼즐"
67;"We Were Here Series Bundle (중국어(간체자), 한국어, 태국어, 영어, 일본어, 중국어(번체자))";"유니크"
68;"We Were Here Series Bundle (중국어(간체자), 한국어, 태국어, 영어, 일본어, 중국어(번체자))";"어드벤처"
69;"We Were Here Series Bundle (중국어(간체자), 한국어, 태국어, 영어, 일본어, 중국어(번체자))";"퍼즐"
70;"Totally Normal Journey: The Interactive Musical (영어)";"어드벤처"
71;"Totally Normal Journey: The Interactive Musical (영어)";"음악/리듬"
72;"May’s Mysteries: The Secret of Dragonville (영어)";"어드벤처"
73;"May’s Mysteries: The Secret of Dragonville (영어)";"퍼즐"
74;"Blood Bowl 2: Legendary Edition (게임)";"롤플레잉 게임"
75;"Blood Bowl 2: Legendary Edition (게임)";"스포츠"
76;"Blood Bowl 2: Legendary Edition (게임)";"전략"
77;"알케믹 조스트 (한국어판)";"전략"
78;"아시가루: 마지막 쇼군 (영어, 일본어)";"액션"
79;"아시가루: 마지막 쇼군 (영어, 일본어)";"캐주얼"
80;"아시가루: 마지막 쇼군 (영어, 일본어)";"어드벤처"
81;"쇼군 궁극 (영어, 일본어)";"액션"
82;"쇼군 궁극 (영어, 일본어)";"캐주얼"
83;"쇼군 궁극 (영어, 일본어)";"어드벤처"
84;"Shadwen (영어)";"액션"
