"NUM";"TITLE";"PRICE";"SALEPRICE";"SALEPER";"DESCRIPTION";"IMGDATA";"GAMEIMG";"URL";"VARIA"
1;"Risk of Rain Returns";"₩ 16,500";"₩ 14,020";"-15%";"섬세한 디자인과 눈이 즐거운 리마스터링 각종 새로운 플레이 방식으로 무장한 사상 최고의 Risk of Rain이 돌아왔습니다 개성 넘치는 전리품 조합 새로운 생존자로 보강된 게임성 완전히 개편된 멀티플레이어 Risk of Rain 2에서 사랑받았던 콘텐츠 등 상징적인 로그라이크의 세계로 뛰어드세요";"https://cdn.cloudflare.steamstatic.com/steam/apps/1337520/header.jpg?t=1699546769";"https://cdn.cloudflare.steamstatic.com/steam/apps/1337520/ss_d2d457ccd93e9c59b9fe5fe37bd2b85bfcf5f8e4.1920x1080.jpg?t=1699546769";"https://store.steampowered.com/app/1337520/Risk_of_Rain_Returns?snr=1_2300_4__salebrowseall";1
2;"산나비";"₩ 15,500";"₩ 12,400";"-20%";"기계팔로 무장한 퇴역 군인은 초거대 재벌의 부패한 사유 도시를 오릅니다 도시에 숨겨진 비밀을 밝혀내기 위해 그리고 산나비를 찾아내 복수하기 위해 사이버펑크 디스토피아를 배경으로 펼쳐지는 역동적이고 스타일리쉬한 2D 사슬 액션 어드벤처 플랫포머 게임 산나비입니다";"https://cdn.cloudflare.steamstatic.com/steam/apps/1562700/header_koreana.jpg?t=1699513185";"https://cdn.cloudflare.steamstatic.com/steam/apps/1562700/ss_9309623510d853bf750877457f863e45eb7c6cbe.1920x1080.jpg?t=1699513185";"https://store.steampowered.com/app/1562700/?snr=1_2300_4__salebrowseall";1
3;"Crusader Kings III";"₩ 52,000";"₩ 26,000";"-50%";"사랑하고 싸우고 계략을 세우고 위대함을 쟁취하세요 Crusader Kings III의 마구 뻗어 나가는 대전략 게임에서 귀족 가문의 유산을 결정하세요 풍부하고 개성 넘치는 중세 시대 시뮬레이션 속 왕조 혈통을 이어나가는 이곳에서 죽음은 단지 시작일 뿐입니다";"https://cdn.cloudflare.steamstatic.com/steam/apps/1158310/header.jpg?t=1699549461";"https://cdn.cloudflare.steamstatic.com/steam/apps/1158310/ss_950a6f6dc67f521877345db6d2c0cebb27ddc528.1920x1080.jpg?t=1699549461";"https://store.steampowered.com/app/1158310/Crusader_Kings_III?snr=1_2300_4__salebrowseall";1
4;"Mount & Blade II: Bannerlord";"₩ 60,000";"₩ 42,000";"-30%";"본 게임은 전략액션 RPG입니다 캐릭터를 생성하고 외교에 참여하고 제작 거래를 하고 방대한 중세풍의 샌드박스에서 새로운 땅을 정복하십시오 군대를 일으켜 전쟁에 뛰어들고 깊이가 있으나 직관적인 실력 기반의 전투 시스템을 채용한 대규모 실시간 전투에서 자신의 부대에 명령을 내리고 함께 싸우십시오";"https://cdn.cloudflare.steamstatic.com/steam/apps/261550/header.jpg?t=1671213711";"https://cdn.cloudflare.steamstatic.com/steam/apps/261550/ss_569257e92fd31d58a6fe08053de637071b4518d3.1920x1080.jpg?t=1671213711";"https://store.steampowered.com/app/261550/Mount__Blade_II_Bannerlord?snr=1_2300_4__salebrowseall";1
5;"Cuisineer";"₩ 27,000";"₩ 24,300";"-10%";"귀염뽀짝하고 맛있는 로그라이트 풍의 던전 크롤러 게임임 푸릇푸릇한 세계를 탐험하고 믿음직한 주걱과 보바티로 몬스터를 물리치고 맛있는 재료를 가져와 레스토랑에서 요리하고 서빙하세요";"https://cdn.cloudflare.steamstatic.com/steam/apps/1963570/header.jpg?t=1699624706";"https://cdn.cloudflare.steamstatic.com/steam/apps/1963570/ss_e4e595753c80c7ca52e2ee2539a4a20547091f9d.1920x1080.jpg?t=1699624706";"https://store.steampowered.com/app/1963570/Cuisineer?snr=1_2300_4__salebrowseall";1
6;"EZ2ON REBOOT : R";"₩ 44,800";"₩ 29,120";"-35%";"모두가 함께 즐기는 리듬 게임 EZ2ON REBOOT  R  유명 리듬게임 프랜차이즈인 EZ2ON의 최신작을 Steam에서 즐길 수 있습니다 시리즈를 총망라하는 게임 속의 명곡들과 새로운 감각의 콘텐츠들을 플레이하며 EZ2ON만의 즐거움에 빠져보세요";"https://cdn.cloudflare.steamstatic.com/steam/apps/1477590/header.jpg?t=1688723905";"https://cdn.cloudflare.steamstatic.com/steam/apps/1477590/ss_bd0b9e6a48c44ce7abbb1220544424c024ea475f.1920x1080.jpg?t=1688723905";"https://store.steampowered.com/app/1477590/EZ2ON_REBOOT__R?snr=1_2300_4__salebrowseall";1
7;"Ratopia";"₩ 22,500";"₩ 20,250";"-10%";"경제 전략 서바이벌 샌드박스 도시 건설 시뮬레이션 게임의 조합 거대한 규모와 다양한 콘텐츠로 가득 찬 시뮬레이션 게임입니다 자신만의 지속 가능한 경제를 설계하여 이상적인 래토피아를 건설하세요";"https://cdn.cloudflare.steamstatic.com/steam/apps/2244130/header.jpg?t=1699406768";"https://cdn.cloudflare.steamstatic.com/steam/apps/2244130/ss_b916c5f7afcd8f260ce18ef4511d14e714f8cc20.1920x1080.jpg?t=1699406768";"https://store.steampowered.com/app/2244130/Ratopia?snr=1_2300_4__salebrowseall";1
8;"Overcooked! 2";"₩ 26,000";"₩ 6,500";"-75%";"혼란스러운 요리 액션으로 가득한 Overcooked가 돌아왔습니다 양파 왕국으로 돌아가는 여행을 떠나세요 클래식 협동 또는 온라인 플레이에서 셰프 팀을 만들어서 최대 4명까지 플레이하세요 앞치마를 준비하세요 다시 세상을 구할 때가 되었습니다";"https://cdn.cloudflare.steamstatic.com/steam/apps/728880/header.jpg?t=1670442579";"https://cdn.cloudflare.steamstatic.com/steam/apps/728880/ss_2f84a12e1fe82cca37848bf29d4b8b16e83db03b.1920x1080.jpg?t=1670442579";"https://store.steampowered.com/app/728880/Overcooked_2?snr=1_2300_4__salebrowseall";1
9;"타이니 티나의 원더랜드";"₩ 65,000";"₩ 16,250";"-75%";"기발하고도 놀라우며 초강력 무기로 가득한 전설적인 모험을 떠나세요 여러분만의 멀티클래스 영웅을 만들어 쏘고 베고 줍고 발사하며 포악한 용의 군주를 막는 퀘스트를 진행하세요";"https://cdn.cloudflare.steamstatic.com/steam/apps/1286680/header.jpg?t=1682006912";"https://cdn.cloudflare.steamstatic.com/steam/apps/1286680/ss_e7499467fb6dbff279fdffd96ec380b157c5791a.1920x1080.jpg?t=1682006912";"https://store.steampowered.com/app/1286680/?snr=1_2300_4__salebrowseall";1
10;"방 탈출 시뮬레이터";"₩ 16,500";"₩ 12,370";"-25%";"Escape Simulator는 단독 또는 온라인 협동 플레이가 가능한 1인칭 퍼즐 게임입니다 점점 더 많아지는 고도의 상호 작용이 가능한 방탈출 세트를 탐험하세요 가구를 옮기고 모든 것을 집어 들고 검사하고 냄비를 부수고 자물쇠를 부수세요 레벨 편집기를 통해 커뮤니티가 만든 방을 지원합니다";"https://cdn.cloudflare.steamstatic.com/steam/apps/1435790/header.jpg?t=1694095488";"https://cdn.cloudflare.steamstatic.com/steam/apps/1435790/ss_fd3f54b512086b2d4467f2a2c013071f05363df9.1920x1080.jpg?t=1694095488";"https://store.steampowered.com/app/1435790/?snr=1_2300_4__salebrowseall";1
