"NUM";"TITLE";"genre"
1;"Risk of Rain Returns";"멀티플레이어"
2;"Risk of Rain Returns";"온라인 협동"
3;"Risk of Rain Returns";"PvE"
4;"Risk of Rain Returns";"액션 로그라이크"
5;"Risk of Rain Returns";"로컬 협동"
6;"Risk of Rain Returns";"약탈 슈팅"
7;"Risk of Rain Returns";"2D"
8;"Risk of Rain Returns";"공상과학"
9;"Risk of Rain Returns";"컨트롤러"
10;"Risk of Rain Returns";"액션"
12;"Risk of Rain Returns";"아케이드"
13;"Risk of Rain Returns";"클래스 기반"
14;"Risk of Rain Returns";"약탈"
19;"Risk of Rain Returns";"협동"
20;"Risk of Rain Returns";"4명 로컬 플레이"
21;"산나비";"액션"
22;"산나비";"픽셀 그래픽"
23;"산나비";"어드벤처"
24;"산나비";"사이버펑크"
25;"산나비";"액션 어드벤처"
26;"산나비";"2D 플랫폼"
27;"산나비";"플랫폼"
28;"산나비";"풍부한 스토리"
29;"산나비";"2D"
30;"산나비";"싱글 플레이어"
50;"Crusader Kings III";"생활 시뮬레이션"
51;"Crusader Kings III";"샌드박스"
52;"Crusader Kings III";"선택의 중요성"
53;"Crusader Kings III";"싱글 플레이어"
54;"Crusader Kings III";"4X"
55;"Crusader Kings III";"전쟁"
56;"Crusader Kings III";"경제"
57;"Crusader Kings III";"모드 가능"
58;"Crusader Kings III";"정치적"
59;"Crusader Kings III";"멀티플레이어"
60;"Crusader Kings III";"일시 정지 가능한 실시간"
61;"Mount & Blade II: Bannerlord";"중세"
62;"Mount & Blade II: Bannerlord";"전략"
63;"Mount & Blade II: Bannerlord";"오픈 월드"
64;"Mount & Blade II: Bannerlord";"RPG"
65;"Mount & Blade II: Bannerlord";"전쟁"
66;"Mount & Blade II: Bannerlord";"샌드박스"
67;"Mount & Blade II: Bannerlord";"멀티플레이어"
68;"Mount & Blade II: Bannerlord";"싱글 플레이어"
69;"Mount & Blade II: Bannerlord";"액션"
70;"Mount & Blade II: Bannerlord";"캐릭터 커스터마이즈"
71;"Mount & Blade II: Bannerlord";"시뮬레이션"
72;"Mount & Blade II: Bannerlord";"모드 가능"
73;"Mount & Blade II: Bannerlord";"어드벤처"
74;"Mount & Blade II: Bannerlord";"말"
75;"Mount & Blade II: Bannerlord";"현실적"
76;"Mount & Blade II: Bannerlord";"3인칭"
77;"Mount & Blade II: Bannerlord";"1인칭"
78;"Mount & Blade II: Bannerlord";"역사"
79;"Mount & Blade II: Bannerlord";"웅장한 사운드트랙"
80;"Mount & Blade II: Bannerlord";"앞서 해보기"
81;"Cuisineer";"액션 로그라이크"
82;"Cuisineer";"요리"
83;"Cuisineer";"캐주얼"
84;"Cuisineer";"건전함"
85;"Cuisineer";"애니메이션"
86;"Cuisineer";"핵 앤 슬래시"
87;"Cuisineer";"던전 크롤러"
88;"Cuisineer";"경영"
