TITLE,PRICE,SALEPRICE,SALEPER,DESCRIPTION,IMGDATA,GAMEIMG,URL
Wroom Wroom Puzzles,"₩ 24,990","₩ 1,000",-95%,"행복을 하나씩 발견하세요 어린이를 위한 재미있는 퍼즐
작은 손과 호기심 많은 마음을 위한 사랑스러운 퍼즐 어드벤처에 준비하세요 Wroom Wroom Puzzles를 소개합니다  2세 이상 어린이를 위해 특별히 제작된 매혹적인 게임입니다 환한 웃는 얼굴의 차들과 즐거운 아이들이 있는 캐릭터로 가득한 만화적인 분위기의 이 게임은 여러분의 아이를 몇 시간 동안 놀라게 할 것입니다특징 45개의 차 테마 일러스트 4개의 난이도 레벨 퍼즐 아이들을 위한 스마트 인",https://store.nintendo.co.kr/media/catalog/product/cache/559013652f8c31ac036888adc145c37f/7/1/7117fcb4955e45de2d55a3e43cf17e4892a753d5f07702962c2077bbfb53daec_1691482555.jpg,https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/7/1/7117fcb4955e45de2d55a3e43cf17e4892a753d5f07702962c2077bbfb53daec_1691482555.jpg,https://store.nintendo.co.kr/70010000069002
원피스 해적무쌍 4,"₩ 49,800","₩ 14,800",-70%,"종횡무진 일기당천 진화한 상쾌 무쌍 액션
해적무쌍 시리즈란대인기 애니메이션 원피스와 상쾌한 액션으로 인기인 무쌍 시리즈의콜라보레이션에 의해 실현된 누계 400만 장을 돌파한 대인기 시리즈입니다일기당천의 동료와 대모험을 콘셉트로 애니메이션에서 그려진 모험을 상쾌한 원피스 액션으로 체험합시다해적무쌍 4란진화한 원피스 무쌍 액션이 작품은 리얼한 원피스의 전장 체험을 콘셉트로액션 도중에 파괴되는 건물이나 흙먼지가 공기 중에 떠다니는 느낌 등원피스의 전장 체험을",https://store.nintendo.co.kr/media/catalog/product/cache/559013652f8c31ac036888adc145c37f/a/9/a9dd0c4e6007218b400a69e18b9f8124e84ff351f422e76381fd9295606d368a_6.jpg,https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/a/9/a9dd0c4e6007218b400a69e18b9f8124e84ff351f422e76381fd9295606d368a_6.jpg,https://store.nintendo.co.kr/70010000018442
Parkour Jump Adventure - Simulator Stunt Tycoon Escape Kid Super Hero World Games,"₩ 24,990","₩ 1,000",-95%,"점프와 파쿠르의 멋진 게임 세계로 들어가십시오 이 게임에서 당신의 유일한 경쟁자는 당신입니다 왜냐하면 당신은 가능한 최고의 결과로 매번 자신을 능가해야 하기 때문입니다
Parkour Jump Adventure Simulator는 빠르게 진행되는 3인칭 플랫폼 게임으로 게임의 목표는 장애물과 건물을 뛰어넘는 것입니다 여기에서 각 레벨에 대해 점프할 수 있는 횟수에 제한이 없습니다Jumps는 각 맵에 9개의 다른 레벨맵이 있으며 6개의 간단한 레벨이 있으며",https://store.nintendo.co.kr/media/catalog/product/cache/559013652f8c31ac036888adc145c37f/c/d/cd18fc7f7f09ac6402a48e6f80eb2bb3a8c58373f41e51f8a6e248b99d283d1f_1680855185.jpg,https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/c/d/cd18fc7f7f09ac6402a48e6f80eb2bb3a8c58373f41e51f8a6e248b99d283d1f_1680855185.jpg,https://store.nintendo.co.kr/70010000063293
Moonlighter (문라이터),"₩ 26,000","₩ 3,900",-85%,"아주 오래전 고고학 발굴 중 다수의 문이 발견되었습니다 사람들은 문이 다른 영토와 차원으로 통하는 고대의 통로이며 용감하고 대담한 모험가는 대단한 보물을 얻을 수 있다는 사실을 빠르게 알아차렸습니다 작은 상업 마을 리노카가 발굴 현장 근처에 세워졌고 모험가들에게 안식처와 힘겹게 얻은 보물을 판매할 장소를 제공했습니다
문라이터는 영웅이 되길 원하는 모험심 넘치는 상인 윌의 일상을 체험하는 로그라이트 액션 알피지 게임입니다
상점 운영리노카 마을에서 상점을 ",https://store.nintendo.co.kr/media/catalog/product/cache/559013652f8c31ac036888adc145c37f/9/0/90b9ef71952b378c416fa46beae197ba50e37ddb359eb57d83d9622bea483e99.jpg,https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/9/0/90b9ef71952b378c416fa46beae197ba50e37ddb359eb57d83d9622bea483e99.jpg,https://store.nintendo.co.kr/70010000011031
틀린 그림 찾기 전집 -우뇌의 달인- for Nintendo Switch,"₩ 32,800","₩ 7,800",-76%,"틀린 그림 찾기 전집 우뇌의 달인 for Nintendo Switch 체험판다운로드 번호 D3GM 3304 5YNB 3YWB
혼자서도 여럿이도 틀린 그림 찾기로 즐거운 우뇌 자극 트레이닝
재빠르게 틀린 그림을 찾는 상쾌 모드 모두 함께 틀린 그림을 찾는 파티 모드 그리고 차분하게 틀린 그림을 찾는 집중 모드 등 3개의 모드를 수록하여 혼자서도 여럿이도 틀린 그림 찾기로 즐겁게 우뇌를 자극할 수 있는 틀린 그림 찾기 액션 게임이에요20종류 이상의 틀린 그",https://store.nintendo.co.kr/media/catalog/product/cache/559013652f8c31ac036888adc145c37f/7/d/7d43b0d0516e50eca65b65bd6fe03a6c4313ae580ecc76375810b0011934786b.jpg,https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/7/d/7d43b0d0516e50eca65b65bd6fe03a6c4313ae580ecc76375810b0011934786b.jpg,https://store.nintendo.co.kr/70010000035689
가면라이더 메모리 오브 히어로즈 프리미엄 사운드 에디션,"₩ 92,000","₩ 16,800",-81%,"추억의 그 곡과 함께 정의를 이어가자
프리미엄 사운드 에디션오프닝 주제가와 BGM 삽입곡 등 총 60곡을 수록한 프리미엄 사운드 에디션 게임 내의 BGM이 작품 본편에 나오는 곡만으로 구성된 프리셋 리스트를 탑재 게임 내의 모든 장면을 작품 본편에 나왔던 곡으로 물들인 최고의 가면라이더 체험을 즐기실 수 있습니다
또한 이 작품의 키 비주얼 및 이미지 아트를 수록한 디지털 아트 콜렉션도 함께 제공됩니다
정의의 가면은 계속 이어진다
2020년의 가정용 가면",https://store.nintendo.co.kr/media/catalog/product/cache/559013652f8c31ac036888adc145c37f/3/8/38de1ea071d1f87e2edde1b35ec9c705c45341dd346cbec6b6636a69ae1fad11_3.jpg,https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/3/8/38de1ea071d1f87e2edde1b35ec9c705c45341dd346cbec6b6636a69ae1fad11_3.jpg,https://store.nintendo.co.kr/70010000029129
다이시 던전,"₩ 14,900","₩ 1,490",-90%,"걸어다니는 거대한 주사위가 되어 끝없이 변화하는 던전에서 전투하세요 여러분은 행운의 여인의 잔혹한 변덕으로부터 벗어날 수 있을까요
Terry Cavanagh Chipzel Marlowe Dobbe가 제작한 이 새롭고 빠른 페이스의 덱빌딩 로그라이크 게임에서 괴물들과 싸우고 더 나은 아이템을 찾고 레벨을 올려 행운의 여인을 쓰러뜨리십시오 주사위의 랜덤성에 대응할 수 있도록 여러분의 전략을 신중하게 조절하십시오
여섯 개의 제각기 다른 캐릭터로 플레이하세요 ",https://store.nintendo.co.kr/media/catalog/product/cache/559013652f8c31ac036888adc145c37f/7/8/782d6621fdc1fb0b365083e4845c87b6c61b2d0b3c0b595eab8f1d741f0b10a8.jpg,https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/7/8/782d6621fdc1fb0b365083e4845c87b6c61b2d0b3c0b595eab8f1d741f0b10a8.jpg,https://store.nintendo.co.kr/70010000028409
Ghost Trick,"₩ 38,200","₩ 25,000",-34%,"고해상도로 다시 태어나는 죽음에서 시작되는 하룻밤의 미스터리
명작 미스터리 어드벤처가 부활역전재판시리즈의 아버지 타쿠미 슈가 제작한 Ghost Trick고스트 트릭이 대망의 HD 리마스터화원작의 오리지널 버전과 완전히 동기화된 어레인지 버전 BGM이 수록되어 게임 플레이 도중에 음악을 끊지 않고 변경 가능하다이외에 일러스트배경음악 모음 등의 신규 콘텐츠도 추가되어 그날 밤이 부활한다어느 날 밤 도시 한구석에서 주인공은 한 발의 총알로 인해 목숨을 빼앗긴",https://store.nintendo.co.kr/media/catalog/product/cache/559013652f8c31ac036888adc145c37f/b/5/b554cd3a0aa3a1ad2fa59ea88ca9d2bb72e56551ab7440205f63390beee5ce1a_1678176879.jpg,https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/b/5/b554cd3a0aa3a1ad2fa59ea88ca9d2bb72e56551ab7440205f63390beee5ce1a_1678176879.jpg,https://store.nintendo.co.kr/70010000053638
Down in Bermuda (다운 인 버뮤다),"₩ 23,000","₩ 1,500",-93%,"탐험  찾아내다  탈출
모험을 좋아하는 비행기 조종사가 비정상적인 폭풍에 휘말려 악명 높은 버뮤다에 수십 년 동안 갇히게 됩니다 섬 깊숙한 곳의 괴물을 물리치고 섬의 비밀을 풀어 집으로 돌아가는 길을 찾으세요다운 인 버뮤다는 퍼즐을 풀고 미스터리를 밝혀내야 하는 기묘한 모험을 다룹니다 버뮤다 내에서 시간의 거품에 갇힌 모험가 밀튼이 이곳을 빠져나갈 수 있게 도와주세요 코드를 풀고 퍼즐을 해결하고 마법의 오브를 모아 여섯 개의 섬에서 탈출하세요 각 섬은 ",https://store.nintendo.co.kr/media/catalog/product/cache/559013652f8c31ac036888adc145c37f/d/f/dfafd8763c7c1bef284aa669659980215fd19126dc0b50baa4f20ee797608f59.jpg,https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/d/f/dfafd8763c7c1bef284aa669659980215fd19126dc0b50baa4f20ee797608f59.jpg,https://store.nintendo.co.kr/70010000046724
패션 드리머,"₩ 54,800","₩ 49,320",-10%,"예약구입 상품입니다
멋진 패션 인플루언서를 향해
가상 공간에서 나다운 패션을 자유롭게 표현하세요완전히 새로운 패션  커뮤니케이션 게임에서 즐기는 인플루언서의 삶패션 코디를 제안하고 좋아요를 모으세요가상 공간에는 뮤즈들이 등장합니다 항상 스타일에 관심이 많은 친구들이에요새로운 코디에 목마른 뮤즈들에게센스 가득한 코디를 제안해 보세요뮤즈들은 당신의 코디가 마음에 들면 좋아요를 선물해 줍니다좋아요를 많이 모아서 멋진 인플루언서로 성장해 보세요좋아요를 보내고 ",https://store.nintendo.co.kr/media/catalog/product/cache/559013652f8c31ac036888adc145c37f/2/3/230822_fd_banner_2.jpg,https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/2/3/230822_fd_banner_2.jpg,https://store.nintendo.co.kr/70010000059971
