"NUM";"TITLE";"GENRE"
1;"태고의 달인 Nintendo Switch 버~전!";"파티"
2;"태고의 달인 Nintendo Switch 버~전!";"음악"
3;"SANABI";"액션"
4;"SANABI";"어드벤처"
5;"닌자 박스";"액션"
6;"닌자 박스";"RPG"
7;"패션 드리머";"시뮬레이션"
8;"패션 드리머";"커뮤니케이션"
9;"Phoenix Wright: Ace Attorney Trilogy(역전재판 123 나루호도 셀렉션)";"어드벤처"
10;"Phoenix Wright: Ace Attorney Trilogy(역전재판 123 나루호도 셀렉션)";"시뮬레이션"
11;"Ni no Kuni: Wrath of the White Witch";"RPG"
12;"장미와 동백 - 호화찬란 버전";"액션"
13;"장미와 동백 - 호화찬란 버전";"파티"
17;"미스터 드릴러 드릴랜드";"액션"
18;"미스터 드릴러 드릴랜드";"퍼즐"
22;"다키스트 던전";"RPG"
23;"다키스트 던전";"어드벤처"
24;"다키스트 던전";"전략"
25;"루트 필름";"어드벤처"
26;"Gang Beasts";"액션"
27;"Gang Beasts";"파티"
28;"Gang Beasts";"격투"
29;"Gang Beasts";"기타"
30;"당신을 기다리는 여우 The Fox Awaits Me";"어드벤처"
36;"Drift Horizon Racing, Driving & Parking Trial Simulator Games";"트레이닝"
37;"자동차 드래그 레이싱 시뮬레이터 (Car Drag Racing Simulator)";"액션"
38;"자동차 드래그 레이싱 시뮬레이터 (Car Drag Racing Simulator)";"어드벤처"
41;"디지몬 월드 넥스트 오더";"RPG"
42;"디지몬 월드 넥스트 오더";"시뮬레이션"
43;"LEGO® Marvel Super Heroes 2";"액션"
44;"드래곤볼 Z 카카로트 + 새로운 각성 편";"액션"
45;"드래곤볼 Z 카카로트 + 새로운 각성 편";"RPG"
46;"드래곤볼 Z 카카로트 + 새로운 각성 편";"어드벤처"
47;"가든 스토리Garden Story";"액션"
54;"Ultimate 4x4 Offroad Trucks :Car Racing Driving Simulator 2022";"스포츠"
55;"Ultimate 4x4 Offroad Trucks :Car Racing Driving Simulator 2022";"레이싱"
56;"Ultimate 4x4 Offroad Trucks :Car Racing Driving Simulator 2022";"시뮬레이션"
57;"Tangle Tower";"어드벤처"
59;"포 더 킹";"어드벤처"
60;"리틀 나이트메어 2 (Little Nightmares II)";"어드벤처"
61;"리틀 나이트메어 2 (Little Nightmares II)";"퍼즐"
68;"SD건담 지 제네레이션 크로스 레이즈";"전략"
69;"SD건담 지 제네레이션 크로스 레이즈";"시뮬레이션"
70;"Rainbow Runner";"액션"
71;"Rainbow Runner";"파티"
72;"Rainbow Runner";"레이싱"
73;"Rainbow Runner";"학습"
74;"이스 메모와르 -펠가나의 맹세-";"액션"
75;"이스 메모와르 -펠가나의 맹세-";"RPG"
77;"바람의 크로노아 1&2 모험의 시작";"어드벤처"
78;"귀멸의 칼날 히노카미 혈풍담";"액션"
79;"귀멸의 칼날 히노카미 혈풍담";"격투"
80;"베어 너클 4";"액션"
81;"베어 너클 4";"아케이드"
82;"Street Fighter 30th Anniversary Collection";"격투"
102;"파: 론 세일즈";"시뮬레이션"
103;"칼라드리우스 블레이즈 (Caladrius Blaze)";"슈팅"
104;"걸즈 앤 판처 드림 탱크 매치 DX";"액션"
105;"Capcom Belt Action Collection";"액션"
106;"Capcom Belt Action Collection";"아케이드"
107;"AirJet Fighter Sky Dominators: Aerial Assault";"액션"
108;"AirJet Fighter Sky Dominators: Aerial Assault";"전략"
124;"다함께 쿠키요미";"학습"
125;"다함께 쿠키요미";"커뮤니케이션"
126;"트라인 4: 악몽의 왕자";"어드벤처"
204;"Classic Games Collection Vol.1+2 Bundle";"퍼즐"
205;"Classic Games Collection Vol.1+2 Bundle";"보드"
206;"인 사운드 마인드 (In Sound Mind)";"어드벤처"
207;"인 사운드 마인드 (In Sound Mind)";"퍼즐"
218;"Goblin Sword";"액션"
219;"Goblin Sword";"어드벤처"
220;"Goblin Sword";"아케이드"
221;"고스트버스터즈: 더 비디오 게임 리마스터드";"액션"
240;"LEGO® Star Wars™: 스카이워커 사가 (The Skywalker Saga)";"액션"
241;"작은 쥐의 백과사전";"어드벤처"
242;"작은 쥐의 백과사전";"퍼즐"
243;"작은 쥐의 백과사전";"학습"
244;"작은 쥐의 백과사전";"실용"
245;"진・삼국무쌍８ Empires";"액션"
246;"진・삼국무쌍８ Empires";"전략"
247;"진・삼국무쌍８ Empires";"시뮬레이션"
250;"목장이야기 올리브 타운과 희망의 대지";"시뮬레이션"
251;"트로피코 6 - 닌텐도 스위치 에디션";"전략"
252;"트로피코 6 - 닌텐도 스위치 에디션";"시뮬레이션"
253;"락 오브 에이지 3";"액션"
258;"방구석에 인어아가씨 My Girlfriend is a Mermaid!?";"시뮬레이션"
259;"블레이블루 센트럴픽션 스페셜 에디션 (BlazBlue Centralfiction Special Edition)";"액션"
297;"벙커 라이프(Bunker Life)";"어드벤처"
298;"벙커 라이프(Bunker Life)";"전략"
299;"벙커 라이프(Bunker Life)";"시뮬레이션"
300;"벙커 라이프(Bunker Life)";"보드"
320;"Slime Rancher: Plortable Edition";"시뮬레이션"
321;"Slime Rancher: Plortable Edition";"슈팅"
322;"알바: 야생의 모험";"어드벤처"
356;"Driving School Simulator";"어드벤처"
357;"Driving School Simulator";"레이싱"
358;"Driving School Simulator";"시뮬레이션"
359;"테슬라그라드 리마스터 (Teslagrad Remastered)";"액션"
360;"테슬라그라드 리마스터 (Teslagrad Remastered)";"어드벤처"
361;"어린이를 위한 색칠공부";"퍼즐"
362;"어린이를 위한 색칠공부";"시뮬레이션"
434;"WRC 9 FIA 월드 랠리 챔피언십";"시뮬레이션"
435;"Fury Unleashed";"액션"
436;"Fury Unleashed";"슈팅"
437;"엠버 (Embr)";"액션"
459;"슈퍼 픽셀 레이서즈";"레이싱"
460;"룬 팩토리 4 스페셜";"어드벤처"
496;"Wizards Legacy - Nightmare Park Manager Simulator";"아케이드"
497;"Wizards Legacy - Nightmare Park Manager Simulator";"시뮬레이션"
498;"Wash Simulator - Clean Garage, House, Cars Business Tycoons";"액션"
499;"Wash Simulator - Clean Garage, House, Cars Business Tycoons";"전략"
509;"버블 퍼즐 (Bubble Puzzler)";"액션"
510;"버블 퍼즐 (Bubble Puzzler)";"파티"
511;"버블 퍼즐 (Bubble Puzzler)";"아케이드"
512;"버블 퍼즐 (Bubble Puzzler)";"퍼즐"
513;"번뜩！추리게임";"어드벤처"
514;"번뜩！추리게임";"퍼즐"
515;"번뜩！추리게임";"시뮬레이션"
516;"번뜩！추리게임";"학습"
517;"스페이스 라인: 퍼즐 아케이드 게임 (Space Lines: A Puzzle Arcade Game)";"액션"
518;"스페이스 라인: 퍼즐 아케이드 게임 (Space Lines: A Puzzle Arcade Game)";"파티"
541;"Car Parking Multiplayer";"시뮬레이션"
542;"씽크로직! 스도쿠 - 바이너리 - 스구루";"퍼즐"
543;"씽크로직! 스도쿠 - 바이너리 - 스구루";"보드"
544;"씽크로직! 스도쿠 - 바이너리 - 스구루";"학습"
553;"Totally Accurate Battle Simulator";"격투"
554;"Totally Accurate Battle Simulator";"시뮬레이션"
558;"어드벤트 캘린더";"실용"
559;"카+툰레이스 랠리밸리 챔피언(Car+Toon Race: Rally Valley Champion)";"액션"
560;"카+툰레이스 랠리밸리 챔피언(Car+Toon Race: Rally Valley Champion)";"스포츠"
603;"스페이스 스텔라 미지의 행성(Space Stella: The Unknown Planet)";"어드벤처"
604;"스페이스 스텔라 미지의 행성(Space Stella: The Unknown Planet)";"아케이드"
605;"스페이스 스텔라 미지의 행성(Space Stella: The Unknown Planet)";"슈팅"
606;"림스 레이싱 (RiMS Racing)";"스포츠"
628;"대공원 스토리(Wild Park Manager)";"전략"
629;"대공원 스토리(Wild Park Manager)";"시뮬레이션"
630;"대공원 스토리(Wild Park Manager)";"기타"
631;"아웃 오브 라인 (Out of Line)";"액션"
660;"서바이빙 더 애프터매스";"액션"
661;"서바이빙 더 애프터매스";"어드벤처"
662;"서바이빙 더 애프터매스";"시뮬레이션"
663;"서바이빙 더 애프터매스";"슈팅"
668;"모히토 캣";"액션"
669;"모히토 캣";"어드벤처"
670;"모히토 캣";"퍼즐"
671;"모히토 캣";"기타"
678;"전설의 가면 조로 (Zorro The Chronicles)";"전략"
679;"전설의 가면 조로 (Zorro The Chronicles)";"아케이드"
680;"전설의 가면 조로 (Zorro The Chronicles)";"퍼즐"
681;"전설의 가면 조로 (Zorro The Chronicles)";"기타"
685;"Thunder Kid II: Null Mission";"시뮬레이션"
713;"Chess Cartoons";"액션"
714;"Chess Cartoons";"어드벤처"
715;"Chess Cartoons";"아케이드"
716;"Chess Cartoons";"기타"
721;"연금술사 시뮬레이터 ""Alchemist Simulator""";"어드벤처"
722;"연금술사 시뮬레이터 ""Alchemist Simulator""";"전략"
723;"연금술사 시뮬레이터 ""Alchemist Simulator""";"퍼즐"
724;"연금술사 시뮬레이터 ""Alchemist Simulator""";"학습"
725;"직소 펀: 놀라운 동물들";"액션"
726;"직소 펀: 놀라운 동물들";"어드벤처"
727;"직소 펀: 놀라운 동물들";"레이싱"
728;"직소 펀: 놀라운 동물들";"기타"
752;"직소 펀: 경이로운 자연";"어드벤처"
753;"직소 펀: 경이로운 자연";"음악"
754;"직소 펀: 경이로운 자연";"기타"
755;"직소 펀: 경이로운 자연";"실용"
756;"The Serpent Rogue";"액션"
757;"The Serpent Rogue";"아케이드"
758;"The Serpent Rogue";"격투"
759;"The Serpent Rogue";"기타"
775;"Samurai Bringer";"액션"
776;"Samurai Bringer";"아케이드"
781;"냠냠 라인";"액션"
782;"냠냠 라인";"어드벤처"
783;"냠냠 라인";"아케이드"
784;"냠냠 라인";"기타"
799;"마법의 보석: 잃어버린 가족";"액션"
800;"마법의 보석: 잃어버린 가족";"아케이드"
801;"마법의 보석: 잃어버린 가족";"슈팅"
810;"Ball Physics Draw Puzzles 2";"어드벤처"
811;"Ball Physics Draw Puzzles 2";"아케이드"
812;"Ball Physics Draw Puzzles 2";"퍼즐"
813;"Ball Physics Draw Puzzles 2";"기타"
827;"MAGLAM LORD/매그램 로드";"액션"
828;"MAGLAM LORD/매그램 로드";"어드벤처"
829;"MAGLAM LORD/매그램 로드";"퍼즐"
830;"MAGLAM LORD/매그램 로드";"기타"
831;"Explosive Candy World";"스포츠"
832;"Explosive Candy World";"아케이드"
833;"Explosive Candy World";"레이싱"
834;"Explosive Candy World";"시뮬레이션"
873;"뿌이뿌이 모루카 모두 함께! 모루카 파티!";"액션"
874;"뿌이뿌이 모루카 모두 함께! 모루카 파티!";"어드벤처"
875;"뿌이뿌이 모루카 모두 함께! 모루카 파티!";"아케이드"
876;"뿌이뿌이 모루카 모두 함께! 모루카 파티!";"격투"
897;"Romeow: in the cracked world";"전략"
898;"Romeow: in the cracked world";"퍼즐"
899;"Romeow: in the cracked world";"보드"
900;"Romeow: in the cracked world";"기타"
949;"Hextones";"액션"
950;"Hextones";"어드벤처"
951;"Hextones";"격투"
952;"Hextones";"퍼즐"
967;"코튼 부메랑 새턴 트리뷰트";"액션"
968;"코튼 부메랑 새턴 트리뷰트";"파티"
969;"코튼 부메랑 새턴 트리뷰트";"스포츠"
970;"코튼 부메랑 새턴 트리뷰트";"아케이드"
1008;"Ravva and the Cyclops Curse";"액션"
1009;"Ravva and the Cyclops Curse";"어드벤처"
1010;"Ravva and the Cyclops Curse";"아케이드"
1011;"Ravva and the Cyclops Curse";"슈팅"
1012;"팔코니어: 워리어 에디션(The Falconeer: Warrior Edition)";"어드벤처"
1013;"팔코니어: 워리어 에디션(The Falconeer: Warrior Edition)";"전략"
1014;"팔코니어: 워리어 에디션(The Falconeer: Warrior Edition)";"퍼즐"
1015;"팔코니어: 워리어 에디션(The Falconeer: Warrior Edition)";"시뮬레이션"
1029;"Eternum EX";"액션"
1030;"Eternum EX";"음악"
1031;"Eternum EX";"시뮬레이션"
1032;"Eternum EX";"기타"
1086;"Taxi Chaos  택시 카오스";"RPG"
1087;"Taxi Chaos  택시 카오스";"어드벤처"
1088;"Taxi Chaos  택시 카오스";"전략"
1089;"Taxi Chaos  택시 카오스";"시뮬레이션"
1104;"Food Truck Tycoon - 푸드 트럭 타이쿤";"액션"
1105;"Food Truck Tycoon - 푸드 트럭 타이쿤";"어드벤처"
1106;"Food Truck Tycoon - 푸드 트럭 타이쿤";"아케이드"
1107;"Food Truck Tycoon - 푸드 트럭 타이쿤";"퍼즐"
1108;"Speed 3: Grand Prix 스피드 3: 그랑프리";"액션"
1109;"Speed 3: Grand Prix 스피드 3: 그랑프리";"아케이드"
1110;"Speed 3: Grand Prix 스피드 3: 그랑프리";"퍼즐"
1111;"Speed 3: Grand Prix 스피드 3: 그랑프리";"슈팅"
1112;"G다리우스HD（DARIUS G HD）";"액션"
1113;"G다리우스HD（DARIUS G HD）";"어드벤처"
1114;"G다리우스HD（DARIUS G HD）";"아케이드"
1115;"G다리우스HD（DARIUS G HD）";"퍼즐"
1126;"DEEMO -Reborn-";"액션"
1127;"DEEMO -Reborn-";"RPG"
1128;"DEEMO -Reborn-";"어드벤처"
1129;"DEEMO -Reborn-";"전략"
1149;"노 스트레이트 로드";"어드벤처"
1150;"노 스트레이트 로드";"퍼즐"
1151;"노 스트레이트 로드";"기타"
1152;"저니 투 더 새비지 플래닛";"어드벤처"
1153;"저니 투 더 새비지 플래닛";"퍼즐"
1154;"저니 투 더 새비지 플래닛";"기타"
1171;"기간토사우루스 더 게임";"어드벤처"
1172;"기간토사우루스 더 게임";"전략"
1173;"기간토사우루스 더 게임";"퍼즐"
1174;"기간토사우루스 더 게임";"보드"
1179;"레일웨이 엠파이어";"파티"
1180;"레일웨이 엠파이어";"퍼즐"
1181;"레일웨이 엠파이어";"학습"
1216;"Super Cane Magic ZERO (슈퍼케인매직제로)";"RPG"
1217;"Super Cane Magic ZERO (슈퍼케인매직제로)";"퍼즐"
1218;"Super Cane Magic ZERO (슈퍼케인매직제로)";"트레이닝"
1219;"Super Cane Magic ZERO (슈퍼케인매직제로)";"학습"
1241;"아이코노클라스트(Iconoclasts)";"전략"
1242;"아이코노클라스트(Iconoclasts)";"퍼즐"
1243;"아이코노클라스트(Iconoclasts)";"보드"
1397;"Slide Stars 슬라이드 스타즈";"스포츠"
1398;"Slide Stars 슬라이드 스타즈";"아케이드"
1399;"헌티드던 더 좀비 아포칼립스(Haunted Dawn: The Zombie Apocalypse)";"액션"
1400;"헌티드던 더 좀비 아포칼립스(Haunted Dawn: The Zombie Apocalypse)";"어드벤처"
1401;"헌티드던 더 좀비 아포칼립스(Haunted Dawn: The Zombie Apocalypse)";"아케이드"
1402;"헌티드던 더 좀비 아포칼립스(Haunted Dawn: The Zombie Apocalypse)";"슈팅"
1403;"The Wanderer: Frankenstein’s Creature(방랑자 프랑켄슈타인의 창조물)";"어드벤처"
1404;"Mad Father";"어드벤처"
1405;"Mad Father";"퍼즐"
1406;"Mad Father";"기타"
1407;"Cozy Grove";"RPG"
1408;"Cozy Grove";"어드벤처"
1409;"Cozy Grove";"퍼즐"
1410;"Cozy Grove";"시뮬레이션"
1411;"다리우스 버스트ACEX+ （DARIUSBURST ANOTHER CHRONICLE EX+）";"액션"
1412;"다리우스 버스트ACEX+ （DARIUSBURST ANOTHER CHRONICLE EX+）";"아케이드"
1413;"다리우스 버스트ACEX+ （DARIUSBURST ANOTHER CHRONICLE EX+）";"슈팅"
1414;"그려라, 터치: 두 개의 왕국";"어드벤처"
1415;"스피릿 오브 더 노스";"어드벤처"
1416;"스피릿 오브 더 노스";"퍼즐"
1417;"로키";"어드벤처"
1418;"로키";"퍼즐"
1419;"로키";"기타"
1420;"아리와 사계절의 비밀";"액션"
1421;"아리와 사계절의 비밀";"RPG"
1422;"아리와 사계절의 비밀";"어드벤처"
1423;"Superliminal";"어드벤처"
1424;"Superliminal";"퍼즐"
1425;"Superliminal";"슈팅"
1426;"북 오브 데몬즈";"액션"
1427;"북 오브 데몬즈";"RPG"
1428;"북 오브 데몬즈";"어드벤처"
1429;"아메리칸 퓨지티브";"액션"
1430;"Scribblenauts Showdown";"어드벤처"
1431;"TT 아일 오브 맨";"레이싱"
1432;"다운타운 난투행진곡 Mach!!";"액션"
1433;"다운타운 난투행진곡 Mach!!";"스포츠"
1434;"다운타운 난투행진곡 Mach!!";"아케이드"
1435;"슈퍼로봇대전 V";"RPG"
1436;"슈퍼로봇대전 V";"어드벤처"
1437;"슈퍼로봇대전 V";"시뮬레이션"
1438;"열혈경파 쿠니오군 외전 리버시티 걸즈";"액션"
1439;"열혈경파 쿠니오군 외전 리버시티 걸즈";"아케이드"
1440;"에어 컨플릭트: 시크릿 워";"슈팅"
1441;"소드 아트 온라인: 할로우 리얼라이제이션 Deluxe Edition";"액션"
1442;"소드 아트 온라인: 할로우 리얼라이제이션 Deluxe Edition";"RPG"
1443;"프로젝트 하이라이즈: 아키텍트 에디션";"시뮬레이션"
1444;"미스트랄리아의 마법사";"액션"
1445;"미스트랄리아의 마법사";"RPG"
1446;"미스트랄리아의 마법사";"어드벤처"
1447;"욘더: 클라우드 캐쳐 크로니클 (Yonder: The Cloud Catcher Chronicles)";"RPG"
1448;"욘더: 클라우드 캐쳐 크로니클 (Yonder: The Cloud Catcher Chronicles)";"어드벤처"
1449;"SteamWorld Build";"전략"
1450;"SteamWorld Build";"시뮬레이션"
1451;"Guns and Spurs 2";"액션"
1452;"Guns and Spurs 2";"어드벤처"
1453;"Guns and Spurs 2";"슈팅"
1454;"Worldless";"액션"
1455;"Worldless";"어드벤처"
1456;"DYSCHRONIA: Chronos Alternate - Definitive Edition";"액션"
1457;"DYSCHRONIA: Chronos Alternate - Definitive Edition";"어드벤처"
1458;"Criss Cross";"어드벤처"
1459;"Criss Cross";"시뮬레이션"
1460;"Criss Cross";"기타"
1461;"People Will Money";"파티"
1462;"People Will Money";"전략"
1463;"People Will Money";"보드"
1464;"People Will Money";"커뮤니케이션"
1465;"Grace of Letoile";"RPG"
1466;"Grace of Letoile";"어드벤처"
1467;"Jigsaw Advent Calendar";"퍼즐"
1468;"Jigsaw Advent Calendar";"시뮬레이션"
1469;"Jigsaw Advent Calendar";"보드"
1470;"Jigsaw Advent Calendar";"기타"
1471;"What The Duck";"액션"
1472;"What The Duck";"RPG"
1473;"What The Duck";"어드벤처"
1474;"What The Duck";"격투"
1475;"Erogods: Olympus";"아케이드"
1476;"Erogods: Olympus";"퍼즐"
1477;"Erogods: Olympus";"시뮬레이션"
1478;"Erogods: Olympus";"트레이닝"
1479;"PAWfectly Designed";"어드벤처"
1480;"PAWfectly Designed";"퍼즐"
1481;"PAWfectly Designed";"시뮬레이션"
1482;"Alpha Particle";"액션"
1483;"Alpha Particle";"퍼즐"
1484;"Geometric Brothers";"액션"
1485;"Geometric Brothers";"파티"
1486;"Geometric Brothers";"레이싱"
1487;"Geometric Brothers";"커뮤니케이션"
1488;"Alive Paint";"퍼즐"
1489;"Alive Paint";"기타"
1490;"Alive Paint";"학습"
1491;"Swapshot";"액션"
1492;"Swapshot";"퍼즐"
1493;"레전드 오브 쉐도우 마스크 오브 더 포스(The Legend of Shadow: Mask of the Force)";"액션"
1494;"레전드 오브 쉐도우 마스크 오브 더 포스(The Legend of Shadow: Mask of the Force)";"RPG"
1495;"레전드 오브 쉐도우 마스크 오브 더 포스(The Legend of Shadow: Mask of the Force)";"어드벤처"
1496;"레전드 오브 쉐도우 마스크 오브 더 포스(The Legend of Shadow: Mask of the Force)";"아케이드"
1497;"헌티드좀비 슬로터 2(Haunted Zombie Slaughter 2)";"액션"
1498;"헌티드좀비 슬로터 2(Haunted Zombie Slaughter 2)";"어드벤처"
1499;"헌티드좀비 슬로터 2(Haunted Zombie Slaughter 2)";"아케이드"
1500;"헌티드좀비 슬로터 2(Haunted Zombie Slaughter 2)";"슈팅"
1501;"아트 헤이스트 - 방탈출 모험(Art Heist - Escape Room Adventure)";"어드벤처"
1502;"아트 헤이스트 - 방탈출 모험(Art Heist - Escape Room Adventure)";"퍼즐"
1503;"Humvee Assault: War 3D FPS";"액션"
1504;"Humvee Assault: War 3D FPS";"아케이드"
1505;"Humvee Assault: War 3D FPS";"슈팅"
1506;"Sentry City";"액션"
1507;"Sentry City";"어드벤처"
1508;"Sentry City";"아케이드"
1509;"Sentry City";"슈팅"
1510;"공주거품이야기 (Princess Bubble Story)";"액션"
1511;"공주거품이야기 (Princess Bubble Story)";"파티"
1512;"공주거품이야기 (Princess Bubble Story)";"아케이드"
1513;"공주거품이야기 (Princess Bubble Story)";"퍼즐"
1514;"The Crisis Zone : 위기 지역";"액션"
1515;"The Crisis Zone : 위기 지역";"어드벤처"
1516;"The Crisis Zone : 위기 지역";"시뮬레이션"
1517;"The Jelly Adventure";"어드벤처"
1518;"The Jelly Adventure";"전략"
1519;"The Jelly Adventure";"퍼즐"
1520;"The Jelly Adventure";"시뮬레이션"
1521;"HammerHelm";"액션"
1522;"HammerHelm";"RPG"
1523;"HammerHelm";"어드벤처"
1524;"HammerHelm";"시뮬레이션"
1525;"Paperman: Adventure Delivered";"액션"
1526;"Paperman: Adventure Delivered";"어드벤처"
1527;"룸보: 퍼스트 블러드 (Roombo: First Blood)";"액션"
1528;"룸보: 퍼스트 블러드 (Roombo: First Blood)";"어드벤처"
1529;"룸보: 퍼스트 블러드 (Roombo: First Blood)";"전략"
1530;"룸보: 퍼스트 블러드 (Roombo: First Blood)";"아케이드"
1531;"Moto Racer 2044 Game Simulator";"액션"
1532;"Moto Racer 2044 Game Simulator";"스포츠"
1533;"Moto Racer 2044 Game Simulator";"레이싱"
1534;"Moto Racer 2044 Game Simulator";"시뮬레이션"
1535;"바텐 카이토스 Ⅰ＆Ⅱ HD Remaster";"RPG"
1536;"배관 라인 퍼즐";"파티"
1537;"배관 라인 퍼즐";"퍼즐"
1538;"배관 라인 퍼즐";"트레이닝"
1539;"배관 라인 퍼즐";"학습"
1540;"Escape from Terror City";"액션"
1541;"Escape from Terror City";"아케이드"
1542;"Escape from Terror City";"슈팅"
1543;"Hentai Project";"파티"
1544;"Hentai Project";"전략"
1545;"Hentai Project";"퍼즐"
1546;"Hentai Project";"시뮬레이션"
1547;"불릿배틀 에볼루션(Bullet Battle: Evolution)";"액션"
1548;"불릿배틀 에볼루션(Bullet Battle: Evolution)";"전략"
1549;"불릿배틀 에볼루션(Bullet Battle: Evolution)";"아케이드"
1550;"불릿배틀 에볼루션(Bullet Battle: Evolution)";"슈팅"
1551;"코아와 마라의 다섯 해적들";"액션"
1552;"코아와 마라의 다섯 해적들";"어드벤처"
1553;"코아와 마라의 다섯 해적들";"기타"
1554;"X-Force Under Attack";"액션"
1555;"X-Force Under Attack";"어드벤처"
1556;"X-Force Under Attack";"아케이드"
1557;"X-Force Under Attack";"슈팅"
1558;"Animal Farm Parking";"파티"
1559;"Animal Farm Parking";"퍼즐"
1560;"Animal Farm Parking";"시뮬레이션"
1561;"Animal Farm Parking";"보드"
1562;"카운터델타 2 이스턴 크라이시스(Counter Delta 2: Eastern Crisis)";"액션"
1563;"카운터델타 2 이스턴 크라이시스(Counter Delta 2: Eastern Crisis)";"전략"
1564;"카운터델타 2 이스턴 크라이시스(Counter Delta 2: Eastern Crisis)";"아케이드"
1565;"카운터델타 2 이스턴 크라이시스(Counter Delta 2: Eastern Crisis)";"슈팅"
1566;"다이노 퍼즐 월드 (Dino Puzzler World)";"액션"
1567;"다이노 퍼즐 월드 (Dino Puzzler World)";"파티"
1568;"다이노 퍼즐 월드 (Dino Puzzler World)";"아케이드"
1569;"다이노 퍼즐 월드 (Dino Puzzler World)";"퍼즐"
1570;"Patrick's Parabox";"어드벤처"
1571;"Patrick's Parabox";"아케이드"
1572;"Patrick's Parabox";"퍼즐"
1573;"Patrick's Parabox";"트레이닝"
1574;"Sword & Fairy Inn 2";"RPG"
1575;"Sword & Fairy Inn 2";"퍼즐"
1576;"Sword & Fairy Inn 2";"시뮬레이션"
1577;"Sword & Fairy Inn 2";"기타"
1578;"일립스 (Elypse)";"어드벤처"
1579;"일립스 (Elypse)";"슈팅"
